model	mse	r2	pearson	selected_enhancer	coefficients
spatial_attribution	0.0015067331921552833	0.9155649439092921	0.9599253908944324		
spatial_mean	0.03508516578138773	-0.966119785591045	-3.895782755560521e-16		
best_single	0.0015671609718694319	0.9121786622529475	0.9599253849744595	0.0	
global_elastic_net	0.0015067338739379297	0.9155649057032207	0.9599253849744597		[0.9443958521426054, 0.0, 0.0, 0.0]
