gene	enhancer	enhancer_index	global_concordance	max_regional_concordance	best_domain	local_advantage	regional_specificity	regional_evidence_score	predicted_class	screen_only	permutation_pvalue	permutation_qvalue	initial_spearman_rho	link_pvalue
foxa3	18-46301064-46301564	0	0.2496348351188506	0.37892816992561085	2	0.12929333480676025	0.11433263311379582	0.00560148574504797	regional_candidate	True	0.05	0.08333333333333333	0.2900921076090748	0.0
foxa3	18-46297910-46298410	1	0.24328966061326762	0.3567735777233266	3	0.11348391711005895	0.09840936766016573	0.003984404689563146	unsupported	True	0.05	0.08333333333333333	0.2473776082001058	7.4351962442655e-311
foxa3	18-46306811-46307311	2	0.4637752181195582	0.7473285697377922	0	0.283553351618234	0.4388373815967639	0.09299294152869264	core_concordant	True	0.05	0.08333333333333333	0.2440826601771977	1.937504216811756e-302
foxa3	18-46310875-46311375	3	0.4698809047574989	0.5462906496681698	0	0.07640974491067087	0.16911991247934555	0.0070593914110324155	core_concordant	True	0.05	0.08333333333333333	0.2270757840113216	5.276038208413962e-261
foxa3	18-46334994-46335494	4	0.2735339413435655	0.5002004154307605	1	0.22666647408719504	0.27453991183454685	0.03112696855647364	regional_candidate	True	0.05	0.08333333333333333	0.2252918434464981	7.519147034788386e-257
foxa3	18-46340181-46340681	5	0.13249572963560477	0.22924474990577032	3	0.09674902027016555	0.06878522390553538	0.0015256015789082414	unsupported	True	0.05	0.08333333333333333	0.2062187202416206	1.1038579112524256e-214
foxa3	18-46306100-46306600	6	0.05479020159157037	0.10326652575746155	4	0.04847632416589118	0.05665797289023723	0.00028362876854124666	unsupported	True	0.35	0.3684210526315789	0.1846459564993109	7.55324342052175e-172
foxa3	18-46346770-46347270	7	0.09578096632790532	0.23590490407613146	3	0.14012393774822612	0.07615271623215353	0.0025172984072660237	unsupported	True	0.1	0.13333333333333333	0.1821434381494984	3.305541315023097e-167
foxa3	18-46305105-46305605	8	0.44351390607986485	0.7046893137402713	0	0.2611754076604065	0.2890491538939822	0.05319877958255001	core_concordant	True	0.05	0.08333333333333333	0.1821086590152245	3.8306041529043755e-167
foxa3	18-46411799-46412299	9	0.4604463215403177	0.718418565033301	0	0.2579722434929833	0.5430473567056097	0.10064407931612117	core_concordant	True	0.05	0.08333333333333333	0.17347654777959	1.1811729661478231e-151
foxa3	18-46334473-46334973	10	0.024199598063178094	0.1257732211549895	3	0.10157362309181142	0.07824893694326243	0.0009996490869632483	unsupported	True	0.2	0.23529411764705882	0.1550537320732521	3.0087515266298067e-121
foxa3	18-46330081-46330581	11	0.3026224021803753	0.5663245247442326	1	0.2637021225638573	0.3518842671016189	0.05255074102635375	regional_candidate	True	0.05	0.08333333333333333	0.1484909622006141	2.80373818230931e-111
foxa3	18-46320432-46320932	12	0.15117305331777964	0.311745875846359	1	0.16057282252857935	0.2183830664571919	0.010931801021020735	regional_candidate	True	0.15	0.1875	0.1279308136898678	6.158491125895576e-83
foxa3	18-46276088-46276588	13	0.36715044122438834	0.6786207475617255	0	0.3114703063373372	0.5767822095929301	0.12191457799442358	core_concordant	True	0.05	0.08333333333333333	0.1245081263835134	1.2185183442139484e-78
foxa3	18-46328891-46329391	14	0.18587536993158368	0.3251753941845373	1	0.1393000242529536	0.1788549428020156	0.008101581665813535	regional_candidate	True	0.05	0.08333333333333333	0.1206584394477688	5.962702777127421e-74
foxa3	18-46280368-46280868	15	0.15890510043065495	0.23694548749031594	5	0.07804038705966099	0.07641990971413506	0.001413104818108438	unsupported	True	0.1	0.13333333333333333	0.1112544025758526	3.967499739408564e-63
foxa3	18-46269672-46270172	16	0.01886827569057084	0.08544139547857388	4	0.06657311978800304	0.0762396504506081	0.0004336587752492085	unsupported	True	0.3	0.3333333333333333	0.1110246605181256	7.107692571642324e-63
foxa3	18-46303710-46304210	17	0.025314680541500004	0.0731815395781723	3	0.0478668590366723	0.05603209722956948	0.0001962787802345597	unsupported	True	0.55	0.55	0.0996628786049846	5.1437432575044034e-51
foxa3	18-46290893-46291393	18	0.16016080681740993	0.4095640966004399	0	0.24940328978302997	0.3239653592126316	0.03309197067461272	regional_candidate	True	0.05	0.08333333333333333	0.0987170040656185	4.3668557343709455e-50
foxa3	18-46288980-46289480	19	0.09616354073678372	0.2672331635670442	0	0.17106962283026045	0.20035669454504768	0.009159401760921811	regional_candidate	True	0.1	0.13333333333333333	0.092920906478511	1.3705248846406764e-44
xbp1	5-15942209-15942709	0	0.11650741104722717	0.4188302853331142	2	0.30232287428588706	0.33370250725632505	0.042254070764801185	regional_candidate	True	0.05	0.1111111111111111	0.3728222177225747	0.0
xbp1	5-15961068-15961568	1	0.14925440107795998	0.24416994882469734	0	0.09491554774673736	0.0501888082885418	0.0011631519529042666	unsupported	True	0.15	0.23076923076923078	0.2859291865471227	0.0
xbp1	5-15925937-15926437	2	0.09519371211811319	0.329166555717826	2	0.23397284359971282	0.2171960510526323	0.016727578682594328	regional_candidate	True	0.05	0.1111111111111111	0.2747475763816968	0.0
xbp1	5-15976978-15977478	3	0.07416898144545443	0.28895165981173476	2	0.21478267836628034	0.2117741441143623	0.01314308699412139	regional_candidate	True	0.1	0.16666666666666666	0.2367713650186873	3.232561149154574e-284
xbp1	5-15937393-15937893	4	0.044101783602377695	0.12368147324176704	2	0.07957968963938934	0.0906793940824372	0.0008925149517744529	unsupported	True	0.45	0.47368421052631576	0.2346963106610202	3.702030980550045e-279
xbp1	5-16018203-16018703	5	0.0872735457057225	0.3043112421586229	2	0.21703769645290039	0.21764620419469483	0.014374881243170814	regional_candidate	True	0.05	0.1111111111111111	0.2145029988614979	1.6964513722351963e-232
xbp1	5-15927120-15927620	6	0.08767886365676116	0.23700256871851103	3	0.14932370506174986	0.16331239288766736	0.005779642188298202	regional_candidate	True	0.05	0.1111111111111111	0.1932115903120736	3.0139321528572285e-188
xbp1	5-15938584-15939084	7	0.06774704345485505	0.16039979020596246	2	0.0926527467511074	0.10642016638184229	0.0015815612956934651	unsupported	True	0.3	0.35294117647058826	0.1929271697026564	1.087595823966432e-187
xbp1	5-15942910-15943410	8	0.21388840931421596	0.3692478113493781	0	0.15535940203516216	0.13663066241656033	0.0078379708630153	regional_candidate	True	0.05	0.1111111111111111	0.184449540211408	1.757304135862745e-171
xbp1	5-15928698-15929198	9	0.029617287035205206	0.14145104432470085	2	0.11183375728949564	0.12332384973864821	0.0019508601959860193	unsupported	True	0.35	0.3888888888888889	0.1843711145366579	2.4612341360330344e-171
xbp1	5-15959453-15959953	10	0.12295359492475899	0.24265887138509212	0	0.11970527646033313	0.1335757289293616	0.003880047302164552	unsupported	True	0.1	0.16666666666666666	0.1841635401048803	5.998878988911422e-171
xbp1	5-15958243-15958743	11	0.43182818622623864	0.7097840878092254	0	0.2779559015829868	0.31474280950400463	0.06209519218527621	core_concordant	True	0.05	0.1111111111111111	0.1770431710826337	5.879946010143805e-158
xbp1	5-15939298-15939798	12	0.08720312469349939	0.12708207079548456	2	0.03987894610198517	0.060826023187167	0.00030826014523390095	unsupported	True	0.5	0.5	0.1744838695515803	2.0228030429364778e-153
xbp1	5-15943582-15944082	13	0.29113083595544803	0.47615601751901826	0	0.18502518156357023	0.364919532986425	0.03214972234924353	regional_candidate	True	0.05	0.1111111111111111	0.1705073598990774	1.6439299779050606e-146
xbp1	5-15913842-15914342	14	0.020976025396022075	0.1734097735911294	3	0.15243374819510733	0.14846226324481687	0.003924377497096247	unsupported	True	0.25	0.3333333333333333	0.1659328186885184	9.056410785316738e-139
xbp1	5-15953252-15953752	15	0.34128649054914145	0.489338128892331	0	0.14805163834318957	0.3575289929050378	0.025902014385880384	regional_candidate	True	0.05	0.1111111111111111	0.16456393445275	1.6992983557035812e-136
xbp1	5-15926469-15926969	16	0.07692926091661476	0.2073665079806538	3	0.13043724706403906	0.1431789003197681	0.00387274820256126	unsupported	True	0.1	0.16666666666666666	0.1552813591292448	1.3320606658758823e-121
xbp1	5-15934648-15935148	17	0.31899082525546246	0.5551798613166923	0	0.23618903606122982	0.2721358607410911	0.03568446685475576	regional_candidate	True	0.05	0.1111111111111111	0.1475065840067662	8.023152408002182e-110
xbp1	5-15953823-15954323	18	0.12995575152915317	0.236348765869151	0	0.10639301433999782	0.13520386138599594	0.003399817050298049	unsupported	True	0.2	0.2857142857142857	0.1426262546409832	9.488793824737456e-103
xbp1	5-16031093-16031593	19	0.07775875797664357	0.13893886423290902	1	0.06118010625626545	0.1007266549734802	0.0008562062289471028	unsupported	True	0.3	0.35294117647058826	0.1388333869965339	2.0122465040758424e-97
