model	mse	r2	pearson	selected_enhancer	coefficients
spatial_attribution	0.059629632691066387	-89.60634110045396	0.0		
spatial_mean	0.05962963553506431	-89.60634542186656	0.0		
best_single	0.05962963553506431	-89.60634542186656	0.0	0.0	
global_elastic_net	0.05962963553506431	-89.60634542186656	0.0		[0.0, 0.0, 0.0, 0.0]
