epoch	train_loss	validation_loss
0	0.029659392312169075	0.039488453418016434
1	0.029651271179318428	0.03948034346103668
2	0.029643256217241287	0.03947194293141365
3	0.029635421931743622	0.03946332260966301
4	0.029627934098243713	0.03945457190275192
5	0.029620934277772903	0.03944578766822815
6	0.029614577069878578	0.03943704441189766
7	0.029608968645334244	0.039428479969501495
8	0.029604241251945496	0.03942019119858742
9	0.02960045449435711	0.039412349462509155
10	0.029597632586956024	0.03940512612462044
11	0.02959568053483963	0.03939872607588768
12	0.02959437109529972	0.03939332813024521
13	0.02959335967898369	0.03938903287053108
14	0.02959223836660385	0.0393858328461647
15	0.029590696096420288	0.03938360884785652
16	0.029588596895337105	0.039382241666316986
17	0.02958596870303154	0.03938158601522446
18	0.029582953080534935	0.03938150033354759
19	0.029579736292362213	0.03938184678554535
20	0.029576487839221954	0.03938248008489609
21	0.029573354870080948	0.03938324749469757
22	0.029570413753390312	0.03938397392630577
23	0.02956768311560154	0.039384499192237854
24	0.029565120115876198	0.039384625852108
25	0.029562629759311676	0.03938421234488487
26	0.02956010028719902	0.03938312456011772
27	0.029557405039668083	0.03938129544258118
28	0.029554452747106552	0.03937870264053345
29	0.0295511856675148	0.039375368505716324
30	0.029547585174441338	0.03937135636806488
31	0.029543668031692505	0.03936673700809479
32	0.029539478942751884	0.039361622184515
33	0.02953505702316761	0.039356112480163574
34	0.029530473053455353	0.039350345730781555
35	0.0295257531106472	0.03934444859623909
36	0.0295209102332592	0.03933854028582573
37	0.029515916481614113	0.03933273255825043
38	0.029510729014873505	0.03932710364460945
39	0.029505286365747452	0.03932170942425728
40	0.029499540105462074	0.039316561073064804
41	0.029493452981114388	0.039311621338129044
42	0.02948703244328499	0.039306800812482834
43	0.029480310156941414	0.03930196166038513
44	0.029473310336470604	0.039296917617321014
45	0.0294660534709692	0.03929145261645317
46	0.02945852093398571	0.03928536921739578
47	0.029450640082359314	0.039278484880924225
48	0.02944234199821949	0.039270706474781036
49	0.02943357080221176	0.039262015372514725
50	0.02942429669201374	0.03925248980522156
51	0.029414530843496323	0.03924223408102989
52	0.029404299333691597	0.03923141583800316
53	0.029393624514341354	0.03922022506594658
54	0.029382510110735893	0.03920881077647209
55	0.029370920732617378	0.03919730708003044
56	0.029358817264437675	0.039185743778944016
57	0.029346169903874397	0.03917405754327774
58	0.029332976788282394	0.03916209563612938
59	0.029319241642951965	0.03914958983659744
