enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.041940148919820786	0.04460139945149422	0.0026612505316734314
0	0	0.0	0.0	0.0
0	1	0.041940148919820786	0.04460139945149422	0.0026612505316734314
1	all_test	0.041940148919820786	0.08827170729637146	0.046331558376550674
1	0	0.0	0.0	0.0
1	1	0.041940148919820786	0.08827170729637146	0.046331558376550674
2	all_test	0.041940148919820786	0.03546493500471115	-0.006475213915109634
2	0	0.0	0.0	0.0
2	1	0.041940148919820786	0.03546493500471115	-0.006475213915109634
3	all_test	0.041940148919820786	0.03579537570476532	-0.006144773215055466
3	0	0.0	0.0	0.0
3	1	0.041940148919820786	0.03579537570476532	-0.006144773215055466
