gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score
SLC1A3	20	0	0	20	0	0.0	0.0	0.0
SLC4A4	20	0	0	20	0	0.0	0.0	0.0
SHROOM3	20	0	2	18	1	0.017905093937751554	0.0	0.01967075622977073
TNC	20	0	3	17	1	0.021050762652655576	0.0	0.029182553562649614
EBF3	20	0	0	20	0	0.0	0.0	0.0
EDNRB	20	0	0	20	0	0.0	0.0	0.0
NFIB	20	0	0	20	0	0.0	0.0	0.0
SPARCL1	20	6	1	13	1	0.007219605971811248	0.0	0.0050042495241147105
PAX3	20	0	0	20	0	0.0	0.0	0.0
SOX6	20	0	0	20	0	0.0	0.0	0.0
SALL3	20	0	0	20	0	0.0	0.0	0.0
PTPRZ1	20	0	0	20	0	0.0	0.0	0.0
ADGRV1	20	0	0	20	0	0.0	0.0	0.0
QKI	20	0	0	20	0	0.0	0.0	0.0
LRIG1	20	0	0	20	0	0.0	0.0	0.0
GPM6B	20	0	0	20	0	0.0	0.0	0.0
ARHGEF26	20	0	0	20	0	0.0	0.0	0.0
DSCAM	20	0	0	20	0	0.0	0.0	0.0
PAX2	20	0	0	20	0	0.0	0.0	0.0
RIMS2	20	0	0	20	0	0.0	0.0	0.0
CDH20	20	0	0	20	0	0.0	0.0	0.0
EBF1	20	0	0	20	0	0.0	0.0	0.0
SCN9A	20	0	0	20	0	0.0	0.0	0.0
NRXN3	20	0	0	20	0	0.0	0.0	0.0
BMPR1B	20	0	2	18	1	0.017951819558063867	0.0	0.01972208957044148
RFTN2	20	0	0	20	0	0.0	0.0	0.0
CHD7	20	0	0	20	0	0.0	0.0	0.0
SLC15A2	17	0	0	17	0	0.0	0.0	0.0
GLIS3	20	0	0	20	0	0.0	0.0	0.0
PDLIM5	20	0	0	20	0	0.0	0.0	0.0
MEIS2	20	0	0	20	0	0.0	0.0	0.0
ATP13A4	20	0	1	19	1	0.008277334711933006	0.0	0.00573741121812733
TTYH1	20	0	2	18	1	0.019751406549392482	0.0	0.021699137953642367
GAD2	20	0	0	20	0	0.0	0.0	0.0
PLPP3	20	0	0	20	0	0.0	0.0	0.0
OLFM3	20	0	1	19	1	0.013532474221490415	0.0	0.009379996352626221
GLI3	20	0	0	20	0	0.0	0.0	0.0
TCF7L2	20	0	7	13	1	0.11572385813884808	0.0	0.24064099797738486
TCF4	20	0	0	20	0	0.0	0.0	0.0
MEGF10	20	0	0	20	0	0.0	0.0	0.0
CNTN1	20	0	0	20	0	0.0	0.0	0.0
STK33	20	0	0	20	0	0.0	0.0	0.0
PTN	20	16	3	1	1	0.051742145376384205	0.0	0.07172984436752704
ATP8A2	20	0	0	20	0	0.0	0.0	0.0
RGS20	20	0	0	20	0	0.0	0.0	0.0
HOPX	20	0	0	20	0	0.0	0.0	0.0
CCSER1	20	0	0	20	0	0.0	0.0	0.0
GALNTL6	20	0	3	17	1	0.08749990855201742	0.0	0.12130062982416784
RALYL	20	0	0	20	0	0.0	0.0	0.0
RUNX1T1	20	0	0	20	0	0.0	0.0	0.0
TCF7L1	20	0	0	20	0	0.0	0.0	0.0
ELAVL4	20	0	0	20	0	0.0	0.0	0.0
