gene	enhancer_index	global_concordance	max_regional_concordance	best_domain	best_domain_size	local_advantage	regional_specificity	regional_evidence_score	permutation_pvalue	predicted_class	truth_class	truth_domain	permutation_qvalue
sim_gene	0	0.9935756280409782	0.9947579902885492	4	415	0.001182362247570956	0.002492847118891195	2.8868901116192044e-06	0.01	core_concordant	core_concordant	-1	0.015384615384615385
sim_gene	1	0.9957926086377714	0.9964368659141387	3	281	0.0006442572763672993	0.0018034956924150025	1.1399632374158144e-06	0.01	core_concordant	core_concordant	-1	0.015384615384615385
sim_gene	2	0.9972064174129135	0.9978053457054448	3	281	0.0005989282925312756	0.001372967064471986	8.078809954889272e-07	0.01	core_concordant	core_concordant	-1	0.015384615384615385
sim_gene	3	0.9959016768639154	0.9964372073454594	4	415	0.0005355304815439776	0.0008102091974724335	4.2569438073592785e-07	0.01	core_concordant	core_concordant	-1	0.015384615384615385
sim_gene	4	0.9972098613927642	0.9976813706397304	4	415	0.0004715092469661508	0.0012394237550678033	5.740748356716374e-07	0.01	core_concordant	core_concordant	-1	0.015384615384615385
sim_gene	5	0.997717312532869	0.9983522805071757	0	281	0.0006349679743067327	0.001382051847617416	8.626340347617682e-07	0.01	core_concordant	core_concordant	-1	0.015384615384615385
sim_gene	6	0.9969509411910131	0.9973663954097264	4	415	0.0004154542187132515	0.0015251537753342426	6.222403299814074e-07	0.01	core_concordant	core_concordant	-1	0.015384615384615385
sim_gene	7	0.9978272385824501	0.9981178656566243	4	415	0.00029062707417415456	0.0009562005955466857	2.731074367497677e-07	0.01	core_concordant	core_concordant	-1	0.015384615384615385
sim_gene	8	0.9983193912204193	0.9983963473495534	4	415	7.69561291340537e-05	0.0002519336223050228	1.90589489389607e-08	0.01	core_concordant	core_concordant	-1	0.015384615384615385
sim_gene	9	0.9976088458263198	0.9982512826154589	4	415	0.0006424367891391114	0.0010460603042090622	6.529630383827214e-07	0.02	core_concordant	core_concordant	-1	0.02666666666666667
sim_gene	10	0.30596579962738474	0.9982734155313611	0	281	0.6923076159039763	0.8199402912474483	0.5579527984988518	0.01	regional_candidate	regional_specific	0	0.015384615384615385
sim_gene	11	0.46082990330992973	0.9982945729484975	2	262	0.5374646696385679	0.7075784156869891	0.373809061664056	0.01	regional_candidate	regional_specific	1	0.015384615384615385
sim_gene	12	0.37333866836103374	0.9835100095851806	1	415	0.610171341224147	0.6969258633448929	0.4117975790022491	0.01	regional_candidate	regional_specific	2	0.015384615384615385
sim_gene	13	0.31507651359433797	0.9984964732707478	0	281	0.6834199596764098	0.880097225463887	0.5913321108473136	0.01	regional_candidate	regional_redundant	0	0.015384615384615385
sim_gene	14	0.4479361831642195	0.9980660671740613	2	262	0.5501298840098419	0.7602869111193492	0.4063157322853079	0.02	regional_candidate	regional_redundant	1	0.02666666666666667
sim_gene	15	-0.038354735936383014	0.4953276237874749	5	262	0.5336823597238579	0.31838126016042145	0.032779400970333314	0.55	unsupported	unsupported	-1	0.6105263157894737
sim_gene	16	-0.027863239423083844	0.36654046872041685	5	262	0.3944037081435007	0.49993347435137925	0.028148370333790137	0.58	unsupported	unsupported	-1	0.6105263157894737
sim_gene	17	0.14428178421653937	0.6694238090413099	5	262	0.5251420248247706	0.5412770739405279	0.1403329278853326	0.21	unsupported	unsupported	-1	0.2625
sim_gene	18	-0.06219643112772631	0.00821190730088296	4	415	0.07040833842860927	0.22645873826292567	3.535256921029093e-05	0.73	unsupported	unsupported	-1	0.73
sim_gene	19	0.16904658618635696	0.6510279314529606	2	262	0.48198134526660363	0.5859798771367171	0.1038328716711399	0.37	unsupported	unsupported	-1	0.43529411764705883
