enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.046752359718084335	0.024761904031038284	-0.02199045568704605
0	0	0.0	0.0	0.0
0	1	0.046752359718084335	0.024761904031038284	-0.02199045568704605
1	all_test	0.046752359718084335	0.06072187051177025	0.013969510793685913
1	0	0.0	0.0	0.0
1	1	0.046752359718084335	0.06072187051177025	0.013969510793685913
2	all_test	0.046752359718084335	0.05485772341489792	0.008105363696813583
2	0	0.0	0.0	0.0
2	1	0.046752359718084335	0.05485772341489792	0.008105363696813583
3	all_test	0.046752359718084335	0.053679510951042175	0.00692715123295784
3	0	0.0	0.0	0.0
3	1	0.046752359718084335	0.053679510951042175	0.00692715123295784
