gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	core_threshold	mixed_complexity_score	threshold_rank
VIM	20	5	5	10	1	0.0427028378669666	0.0	0.07651321411104776	0.3	0.14888783987553006	1
PTN	20	17	2	1	1	0.0367067343179461	0.0	0.04032646939857101	0.3	0.11873882838931513	2
EGFR	20	2	5	13	1	0.0418930955482819	0.0	0.07506235064390976	0.3	0.10405851343005608	3
MAFA	20	4	5	11	1	0.0321190611949831	0.0	0.05754963203882634	0.3	0.10311509815615735	4
SPON1	20	2	3	15	1	0.0356290714933647	0.0	0.049392380903188926	0.3	0.06847237912837657	5
FABP7	20	1	3	16	1	0.028911015079475997	0.0	0.0400791771789297	0.3	0.04403147656847863	6
GALNTL6	20	3	1	16	1	0.0270019701773362	0.0	0.018716339497984315	0.3	0.030122786370043772	7
TTYH1	20	1	2	17	1	0.0197514065493924	0.0	0.021699137953642277	0.3	0.023838939609375987	8
SPARCL1	20	10	1	9	1	0.0072196059718112	0.0	0.005004249524114677	0.3	0.012435092919670996	9
