gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	core_threshold	mixed_complexity_score	threshold_rank
NEFL	20	12	6	2	2	0.0689571863104726	0.7219280948873623	0.23105604097658647	0.2	0.609770138491144	1
MSX1	20	7	5	8	1	0.0532573751249923	0.0	0.09542440618643562	0.2	0.20966885055055073	2
NEFM	20	7	3	10	2	0.027679260890340104	0.9182958340544894	0.07360808674150475	0.2	0.16173349727913056	3
MAFA	20	11	3	6	1	0.0184520247205316	0.0	0.02557993782131778	0.2	0.0656112450786951	4
FABP7	20	3	3	14	1	0.028911015079475997	0.0	0.0400791771789297	0.2	0.06450494725093305	5
NTRK2	20	12	2	6	1	0.0193043295527302	0.0	0.021207973671128352	0.2	0.0559690583630787	6
TTYH1	20	10	2	8	1	0.0197514065493924	0.0	0.021699137953642277	0.2	0.053920332195672875	7
EGFR	20	8	2	10	1	0.017185158932915702	0.0	0.01887982678641573	0.2	0.04347240771671054	8
AQP4	20	5	2	13	1	0.0185977021077527	0.0	0.020431664076565922	0.2	0.03975818248867848	9
SPON1	20	8	1	11	1	0.0230921066031473	0.0	0.016006228585161247	0.2	0.036855703335247465	10
VIM	20	9	2	9	1	0.0138115783767364	0.0	0.015173569730585354	0.2	0.036384631128447066	11
CD99	17	5	1	11	1	0.0152161044758456	0.0	0.010546999916537942	0.2	0.020523514179676725	12
SPARCL1	20	12	1	7	1	0.0072196059718112	0.0	0.005004249524114677	0.2	0.013206501385838506	13
KCNIP4	20	4	1	15	1	0.0069822969740922	0.0	0.004839759461424246	0.2	0.008671684843792963	14
