enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.0033409546595066786	0.0033409546595066786	0.0
0	0	0.0033409546595066786	0.0033409546595066786	0.0
0	1	0.0	0.0	0.0
1	all_test	0.0033409546595066786	0.18834882974624634	0.18500787508673966
1	0	0.0033409546595066786	0.18834882974624634	0.18500787508673966
1	1	0.0	0.0	0.0
2	all_test	0.0033409546595066786	0.02567874640226364	0.022337791742756963
2	0	0.0033409546595066786	0.02567874640226364	0.022337791742756963
2	1	0.0	0.0	0.0
3	all_test	0.0033409546595066786	0.0033409546595066786	0.0
3	0	0.0033409546595066786	0.0033409546595066786	0.0
3	1	0.0	0.0	0.0
