validation_fold	candidate_strength	base_mse	calibrated_mse	relative_gain	improved
0	0.0	0.010506386868655682	0.010506386868655682	0.0	False
2	1.0	0.010837146081030369	0.01210179552435875	-0.11669579893350601	False
3	0.0	0.004491517320275307	0.004491517320275307	0.0	False
4	0.0	0.007509384769946337	0.007509384769946337	0.0	False
