epoch	train_loss	validation_loss	train_reconstruction	train_safety	validation_reconstruction	validation_safety
0	0.03227229043841362	0.03175932541489601	0.030462395399808884	0.002314708661288023	0.029802458360791206	0.0021477427799254656
1	0.032166533172130585	0.03164634108543396	0.03044566698372364	0.002138441428542137	0.029818855226039886	0.0018915474647656083
2	0.03205763176083565	0.031532105058431625	0.0304301418364048	0.0019535881001502275	0.029840029776096344	0.0016234840732067823
3	0.031945254653692245	0.0314176082611084	0.030416108667850494	0.0017589342314749956	0.029866738244891167	0.001344012445770204
4	0.03182988241314888	0.03130398318171501	0.03040401265025139	0.0015545499045401812	0.029899749904870987	0.0010538588976487517
5	0.03171214461326599	0.03119255043566227	0.030394364148378372	0.0013406772632151842	0.029939886182546616	0.0007540237274952233
6	0.03159279003739357	0.031084712594747543	0.030387701466679573	0.001117737265303731	0.02998794987797737	0.0004457097384147346
7	0.03147267550230026	0.0309820007532835	0.030384594574570656	0.0008862931281328201	0.03004477545619011	0.00013029835827182978
8	0.03135272115468979	0.031134115532040596	0.030385633930563927	0.0006470147636719048	0.030111169442534447	0.00030557886930182576
9	0.031233910471200943	0.03146689012646675	0.030391423031687737	0.00040064938366413116	0.030187951400876045	0.0008215688285417855
10	0.03111722692847252	0.03182796761393547	0.03040255419909954	0.00014798008487559855	0.030275916680693626	0.0013719573616981506
11	0.031058765947818756	0.03216368705034256	0.030419621616601944	0.0	0.030361903831362724	0.0018751822644844651
12	0.031161272898316383	0.03239323943853378	0.030439481139183044	0.00016807019710540771	0.030422592535614967	0.002215426415205002
13	0.031239943578839302	0.03251804783940315	0.03045479580760002	0.0002966485917568207	0.030455924570560455	0.0023997544776648283
14	0.03128320723772049	0.032553620636463165	0.03046334907412529	0.00036707596154883504	0.03046496957540512	0.0024532265961170197
15	0.031294696033000946	0.03251604735851288	0.030465198680758476	0.0003866612969432026	0.030453871935606003	0.0023999058175832033
16	0.0312800370156765	0.032420460134744644	0.030461346730589867	0.00036477966932579875	0.030426999554038048	0.0022614814806729555
17	0.031244801357388496	0.03228039667010307	0.03045317716896534	0.00030990614322945476	0.030388502404093742	0.002056856406852603
