enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.027356304228305817	0.05211447551846504	0.024758171290159225
0	0	0.0	0.0	0.0
0	1	0.027356304228305817	0.05211447551846504	0.024758171290159225
1	all_test	0.027356304228305817	0.045394863933324814	0.018038559705018997
1	0	0.0	0.0	0.0
1	1	0.027356304228305817	0.045394863933324814	0.018038559705018997
2	all_test	0.027356304228305817	0.019779805094003677	-0.007576499134302139
2	0	0.0	0.0	0.0
2	1	0.027356304228305817	0.019779805094003677	-0.007576499134302139
3	all_test	0.027356304228305817	0.02133912965655327	-0.006017174571752548
3	0	0.0	0.0	0.0
3	1	0.027356304228305817	0.02133912965655327	-0.006017174571752548
