enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.0031436618883162737	0.0031436618883162737	0.0
0	0	0.0031436618883162737	0.0031436618883162737	0.0
0	1	0.0	0.0	0.0
1	all_test	0.0031436618883162737	0.16078422963619232	0.15764056774787605
1	0	0.0031436618883162737	0.16078422963619232	0.15764056774787605
1	1	0.0	0.0	0.0
2	all_test	0.0031436618883162737	0.0031436618883162737	0.0
2	0	0.0031436618883162737	0.0031436618883162737	0.0
2	1	0.0	0.0	0.0
3	all_test	0.0031436618883162737	0.0031436618883162737	0.0
3	0	0.0031436618883162737	0.0031436618883162737	0.0
3	1	0.0	0.0	0.0
