enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.014864755794405937	0.29814204573631287	0.28327728994190693
0	0	0.014864755794405937	0.29814204573631287	0.28327728994190693
0	1	0.0	0.0	0.0
1	all_test	0.014864755794405937	0.020563684403896332	0.005698928609490395
1	0	0.014864755794405937	0.020563684403896332	0.005698928609490395
1	1	0.0	0.0	0.0
2	all_test	0.014864755794405937	0.014864755794405937	0.0
2	0	0.014864755794405937	0.014864755794405937	0.0
2	1	0.0	0.0	0.0
3	all_test	0.014864755794405937	0.014864755794405937	0.0
3	0	0.014864755794405937	0.014864755794405937	0.0
3	1	0.0	0.0	0.0
