enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.011890441179275513	0.012632809579372406	0.0007423684000968933
0	0	0.0	0.0	0.0
0	1	0.011890441179275513	0.012632809579372406	0.0007423684000968933
1	all_test	0.011890441179275513	0.1627202033996582	0.1508297622203827
1	0	0.0	0.0	0.0
1	1	0.011890441179275513	0.1627202033996582	0.1508297622203827
2	all_test	0.011890441179275513	0.03056143783032894	0.01867099665105343
2	0	0.0	0.0	0.0
2	1	0.011890441179275513	0.03056143783032894	0.01867099665105343
3	all_test	0.011890441179275513	0.01189038623124361	-5.494803190231323e-08
3	0	0.0	0.0	0.0
3	1	0.011890441179275513	0.01189038623124361	-5.494803190231323e-08
