validation_fold	global_mse	spatial_mse	relative_gain	improved
0	0.005023134912974543	0.006546496845618802	-0.3032691653790705	False
1	0.0018609671196778079	0.00468909555055284	-1.5197089733453597	False
2	0.0036525521050043666	0.007377033148701705	-1.0196927892128964	False
3	0.004517615102375828	0.006050259029966657	-0.33925951920623043	False
