epoch	train_loss	validation_loss	train_reconstruction	train_safety	train_attribution	validation_reconstruction	validation_safety	validation_attribution
0	1.1663388013839722	1.0818737745285034	0.34104183316230774	0.6700996160507202	0.37870797514915466	0.30791082978248596	0.610927939414978	0.3560201823711395
1	1.0774405002593994	1.0010290145874023	0.30468660593032837	0.5982524156570435	0.3560457229614258	0.2747875452041626	0.5451199412345886	0.3354659974575043
2	0.9964384436607361	0.9278520941734314	0.2713882327079773	0.5327908992767334	0.33548328280448914	0.2446659505367279	0.4854610562324524	0.3169369101524353
3	0.9232034087181091	0.8621418476104736	0.24117761850357056	0.47352156043052673	0.316950261592865	0.21753378212451935	0.43172597885131836	0.30034956336021423
4	0.8574965000152588	0.8034476041793823	0.2140088677406311	0.4202088415622711	0.30036190152168274	0.1932319700717926	0.38354867696762085	0.2855764329433441
5	0.798845648765564	0.7511382102966309	0.189705029129982	0.37247633934020996	0.28558939695358276	0.1715095341205597	0.3404370844364166	0.27245214581489563
6	0.746610164642334	0.7045428156852722	0.16800901293754578	0.32982346415519714	0.2724660038948059	0.1520972102880478	0.3018638491630554	0.2608022391796112
7	0.7001124620437622	0.6630460619926453	0.14864671230316162	0.2917175590991974	0.26081669330596924	0.13474738597869873	0.26734375953674316	0.2504671812057495
8	0.6587330102920532	0.6261143684387207	0.13136689364910126	0.25766998529434204	0.2504817843437195	0.11924509704113007	0.23645532131195068	0.24130879342556
9	0.6219347715377808	0.5932829976081848	0.11595174670219421	0.22725734114646912	0.241322860121727	0.10540316998958588	0.2088317573070526	0.233206644654274
10	0.5892514586448669	0.5641387701034546	0.10221194475889206	0.20011143386363983	0.23321989178657532	0.09305503219366074	0.18414632976055145	0.22605380415916443
11	0.5602678060531616	0.5383100509643555	0.08997902274131775	0.1759045571088791	0.22606591880321503	0.0820508524775505	0.16210508346557617	0.21975411474704742
12	0.5346112251281738	0.515467643737793	0.07910159230232239	0.15434204041957855	0.2197650521993637	0.07225747406482697	0.1424465924501419	0.21422263979911804
13	0.511951208114624	0.49532362818717957	0.06944524496793747	0.13516220450401306	0.2142324447631836	0.06355852633714676	0.12494231760501862	0.20938506722450256
14	0.49199891090393066	0.4776262938976288	0.06089247018098831	0.11813613027334213	0.20939381420612335	0.055852342396974564	0.1093926653265953	0.20517639815807343
15	0.4745018482208252	0.46215516328811646	0.053340598940849304	0.10306398570537567	0.20518434047698975	0.04904988780617714	0.09562281519174576	0.20153966546058655
16	0.45923876762390137	0.44871601462364197	0.046699728816747665	0.0897705927491188	0.20154708623886108	0.04307286813855171	0.08347909897565842	0.1984245926141739
17	0.4460141956806183	0.4371365010738373	0.0408906526863575	0.07810179889202118	0.19843167066574097	0.03785201907157898	0.0728255957365036	0.1957864612340927
18	0.4346551299095154	0.4272625148296356	0.03584330528974533	0.06792126595973969	0.19579344987869263	0.033325567841529846	0.06354117393493652	0.19358517229557037
19	0.4250066578388214	0.4189545214176178	0.0314951166510582	0.059107255190610886	0.19359233975410461	0.029437679797410965	0.05551643297076225	0.1917843520641327
20	0.41692808270454407	0.41208451986312866	0.02778942883014679	0.051549650728702545	0.1917918473482132	0.02613724395632744	0.048651281744241714	0.19035056233406067
21	0.41029059886932373	0.4065927565097809	0.02467438206076622	0.04514767602086067	0.19035853445529938	0.023406896740198135	0.04291636496782303	0.18926401436328888
22	0.4050306975841522	0.40237119793891907	0.022129634395241737	0.03986584022641182	0.18927252292633057	0.021209126338362694	0.03824225813150406	0.18849283456802368
23	0.40103670954704285	0.39927801489830017	0.020114745944738388	0.03562907502055168	0.18850187957286835	0.01949187181890011	0.03453030809760094	0.1879970133304596
24	0.3981635868549347	0.3971520662307739	0.018574945628643036	0.0323338583111763	0.18800659477710724	0.01819448173046112	0.0316644087433815	0.18773208558559418
25	0.3962472677230835	0.39582547545433044	0.017447177320718765	0.02985994890332222	0.18774212896823883	0.017252689227461815	0.029520701617002487	0.18765240907669067
26	0.39511752128601074	0.39513343572616577	0.016665080562233925	0.02808014675974846	0.18766288459300995	0.016602549701929092	0.027975359931588173	0.18771372735500336
27	0.3946073055267334	0.3949210047721863	0.016162972897291183	0.026868045330047607	0.18772447109222412	0.016183393076062202	0.02691044472157955	0.18787479400634766
28	0.3945603370666504	0.39504870772361755	0.015878837555646896	0.02610388956964016	0.18788576126098633	0.015939945355057716	0.026218067854642868	0.18809890747070312
29	0.3948359489440918	0.3953954577445984	0.015756424516439438	0.025678694248199463	0.18810999393463135	0.01582368277013302	0.025803104043006897	0.18835455179214478
30	0.3953123688697815	0.3958604037761688	0.015746580436825752	0.02549687586724758	0.188365638256073	0.015793515369296074	0.02558458223938942	0.18861590325832367
31	0.3958885073661804	0.3963627219200134	0.015807949006557465	0.025477612391114235	0.18862688541412354	0.015815986320376396	0.025496115908026695	0.1888626366853714
32	0.39648377895355225	0.3968413770198822	0.015907099470496178	0.025555217638611794	0.18887345492839813	0.01586499996483326	0.025485467165708542	0.1890798956155777
33	0.39703744649887085	0.3972529172897339	0.016018260270357132	0.0256786048412323	0.18909046053886414	0.015921268612146378	0.025513479486107826	0.18925759196281433
34	0.3975069224834442	0.39756956696510315	0.01612268202006817	0.025810137391090393	0.18926788866519928	0.015971513465046883	0.025552595034241676	0.1893898844718933
35	0.3978651463985443	0.39777660369873047	0.016207784414291382	0.025924041867256165	0.1893998235464096	0.01600753888487816	0.025585133582353592	0.1894744336605072
36	0.39809858798980713	0.3978697657585144	0.016266219317913055	0.026004608720541	0.18948397040367126	0.01602531038224697	0.025601502507925034	0.18951164186000824
37	0.39820414781570435	0.39785319566726685	0.01629488170146942	0.02604433335363865	0.18952074646949768	0.016024064272642136	0.025598501786589622	0.18950413167476654
38	0.3981870710849762	0.3977370262145996	0.016293976455926895	0.026042133569717407	0.18951277434825897	0.016005495563149452	0.02557775378227234	0.18945607542991638
39	0.3980587422847748	0.397535502910614	0.016266200691461563	0.02600177749991417	0.18946422636508942	0.015973038971424103	0.025544321164488792	0.18937265872955322
40	0.3978346884250641	0.3972657024860382	0.016216004267334938	0.02593047358095646	0.18938031792640686	0.015931271016597748	0.02550554648041725	0.18925981223583221
41	0.3975331783294678	0.3969462811946869	0.016148963943123817	0.02583763562142849	0.18926693499088287	0.015885399654507637	0.02547001838684082	0.18912382423877716
42	0.39717406034469604	0.3965960144996643	0.016071276739239693	0.025733908638358116	0.18913041055202484	0.0158408023416996	0.02544671855866909	0.18897099792957306
43	0.39677727222442627	0.3962332308292389	0.01598930172622204	0.025630300864577293	0.18897701799869537	0.015802685171365738	0.02544429898262024	0.18880748748779297
44	0.3963622748851776	0.395874947309494	0.015909183770418167	0.025537434965372086	0.18881291151046753	0.015775753185153008	0.025470469146966934	0.1886390745639801
45	0.39594730734825134	0.3955363631248474	0.015836579725146294	0.025464963167905807	0.1886439025402069	0.01576397567987442	0.025531509891152382	0.18847109377384186
46	0.3955485224723816	0.39522987604141235	0.01577635481953621	0.025421064347028732	0.18847528100013733	0.015770355239510536	0.025631818920373917	0.18830806016921997
47	0.3951795697212219	0.39496558904647827	0.015732411295175552	0.02541203238070011	0.1883116215467453	0.015796788036823273	0.025773663073778152	0.1881539672613144
48	0.3948514759540558	0.39475005865097046	0.015707509592175484	0.025441955775022507	0.1881568878889084	0.015843963250517845	0.02595694735646248	0.1880117952823639
49	0.3945719003677368	0.3945869505405426	0.015703173354268074	0.02551255188882351	0.18801406025886536	0.01591131091117859	0.026179146021604538	0.18788380920886993
