model	mse	r2	pearson	selected_enhancer	coefficients
spatial_attribution	0.0038804878073076623	0.8288852916227709	0.9670742299061962		
spatial_mean	0.025708392540154428	-0.1336420344039182	0.0		
best_single	0.03351096879306615	-0.4777058806022698	0.018336618599530292	1.0	
global_elastic_net	0.004298188947600627	0.8104662648510679	0.9664652179340057		[0.8065805911596087, 0.8932978791683233, 0.0, 0.14486255692212405]
