epoch	train_loss	validation_loss
0	0.031240347772836685	0.03526138514280319
1	0.031230349093675613	0.035248417407274246
2	0.031220531091094017	0.03523541986942291
3	0.03121092915534973	0.03522247448563576
4	0.031201647594571114	0.035209693014621735
5	0.031192785128951073	0.0351971760392189
6	0.031184477731585503	0.035185061395168304
7	0.031176837161183357	0.03517348691821098
8	0.031169995665550232	0.03516261652112007
9	0.031164053827524185	0.035152558237314224
10	0.031159082427620888	0.03514343127608299
11	0.031155122444033623	0.03513529524207115
12	0.031152134761214256	0.03512819856405258
13	0.03115001693367958	0.03512212261557579
14	0.031148549169301987	0.03511699289083481
15	0.031147411093115807	0.0351126566529274
16	0.031146258115768433	0.035108935087919235
17	0.03114476054906845	0.03510565310716629
18	0.031142760068178177	0.035102713853120804
19	0.031140213832259178	0.035100057721138
20	0.031137190759181976	0.035097695887088776
21	0.031133834272623062	0.03509562835097313
22	0.031130284070968628	0.03509385511279106
23	0.03112669847905636	0.03509235754609108
24	0.031123191118240356	0.03509107977151871
25	0.03111984021961689	0.03508991003036499
26	0.031116673722863197	0.03508870303630829
27	0.03111365996301174	0.03508726507425308
28	0.031110730022192	0.035085394978523254
29	0.031107768416404724	0.035082899034023285
30	0.031104665249586105	0.03507962450385094
31	0.031101318076252937	0.03507550060749054
32	0.031097648665308952	0.0350705049932003
33	0.031093638390302658	0.035064686089754105
34	0.031089292839169502	0.035058148205280304
35	0.031084654852747917	0.03505098819732666
36	0.03107977844774723	0.03504335135221481
37	0.031074712052941322	0.035035353153944016
38	0.031069492921233177	0.03502712771296501
39	0.031064141541719437	0.03501877188682556
40	0.031058648601174355	0.035010360181331635
41	0.0310529638081789	0.0350019633769989
42	0.031047029420733452	0.034993600100278854
43	0.03104078210890293	0.034985270351171494
44	0.031034179031848907	0.034976959228515625
45	0.03102719970047474	0.03496862202882767
46	0.03101986274123192	0.03496021032333374
47	0.031012194231152534	0.0349515862762928
48	0.031004229560494423	0.034942615777254105
49	0.03099597617983818	0.034933071583509445
50	0.03098740056157112	0.03492273762822151
51	0.030978431925177574	0.03491141274571419
52	0.030969010666012764	0.034898996353149414
53	0.030959073454141617	0.0348854623734951
54	0.030948588624596596	0.03487085551023483
55	0.030937572941184044	0.034855298697948456
56	0.030926022678613663	0.034838926047086716
57	0.03091397136449814	0.03482188284397125
58	0.03090139850974083	0.034804295748472214
59	0.030888289213180542	0.03478627651929855
