enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.028265412896871567	0.03486774116754532	0.006602328270673752
0	0	0.028264213353395462	0.059726469218730927	0.031462255865335464
0	1	0.028267014771699905	0.0017227641073986888	-0.026544250664301217
1	all_test	0.028265412896871567	0.02054789662361145	-0.007717516273260117
1	0	0.028264213353395462	0.0015442214207723737	-0.02671999193262309
1	1	0.028267014771699905	0.04588613286614418	0.017619118094444275
2	all_test	0.028265412896871567	0.028265412896871567	0.0
2	0	0.028264213353395462	0.028264213353395462	0.0
2	1	0.028267014771699905	0.028267014771699905	0.0
3	all_test	0.028265412896871567	0.028265412896871567	0.0
3	0	0.028264213353395462	0.028264213353395462	0.0
3	1	0.028267014771699905	0.028267014771699905	0.0
