setting	attribution_weight	safety_weight	enabled	strength	internal_mean_gain	internal_worst_gain	positive_folds	raw_attribution_recovery	final_validation_attribution
attr1	1.0	0.5	False	0.0	-0.006044845562428236	-0.024179382249712944	0	0.33558561291964956	0.1825858503580093
attr1_safe01	1.0	0.1	False	0.0	-0.01170450821518898	-0.04681803286075592	0	0.3358311059493634	0.1807394623756408
attr2_safe01	2.0	0.1	False	0.0	0.0	0.0	0	0.33706894903905016	0.1753949224948883
default	0.2	0.5	False	0.0	-0.0011526783928275108	-0.004610713571310043	0	0.3340117190152688	0.2403949648141861
