scenario	seed	fold	spatial_r2	elastic_r2	best_single_r2	spatial_gain	spatial_mse	elastic_mse	spatial_strength
single	20260814	0	0.915564943909292	0.9155649057032208	0.9121786622529476	3.8206071195645563e-08	0.0015067331921552	0.0015067338739379	0.0
single	20260814	1	0.9836945232047506	0.9836945207299213	0.9836604033520472	2.4748293414589284e-09	0.0012549641316992	0.0012549643221765	0.0
single	20260814	3	0.0959229259884223	0.0959231050025662	0.1390868839685909	-1.7901414391119364e-07	0.0014712083027834	0.0014712080114729	0.0
single	20260814	2	0.9609317302325718	0.9609317080649858	0.9625292816729778	2.216758598905244e-08	0.0019593107292394	0.0019593118409648	0.0
single	20260814	4	-0.4273215687520213	-0.4273210600910855	-0.5201767091907326	-5.086609358162519e-07	0.0013001406732107	0.0013001402098737	0.0
single	20260824	1	0.982617236397152	0.9826172341565697	0.9802514830498013	2.2405823862925445e-09	0.0016303400409532	0.0016303402510988	0.0
single	20260824	0	0.9502983967460767	0.9502983813584924	0.952810164989435	1.53875843178497e-08	0.0012569795899968	0.0012569799791569	0.0
single	20260824	2	0.9742836512003348	0.9742836561682848	0.9754168369589123	-4.967950051337766e-09	0.0014232326314623	0.0014232323565186	0.0
single	20260824	3	0.6212511670794103	0.621251246742142	0.6286736885501064	-7.96627317445342e-08	0.0008939448876487	0.0008939446996241	0.0
single	20260824	4	-0.5560953877947763	-0.5560954125139328	-0.6262905431246957	2.4719156499486417e-08	0.0006651698252043	0.0006651698357708	0.0
single	20260834	0	0.9269998090908048	0.9269998323827208	0.928888349002802	-2.3291915951517694e-08	0.0016554763377194	0.0016554758095123	0.0
single	20260834	1	0.9770964480013044	0.9770964483745128	0.9761779615549928	-3.732084641328015e-10	0.00203887787185	0.0020388778386269	0.0
single	20260834	2	0.9677479676905478	0.9677479747702358	0.9678691684066584	-7.079687946998092e-09	0.0014260675520605	0.0014260672390225	0.0
single	20260834	3	0.5219825963785971	0.5219829697018468	0.4711720746806793	-3.733232496472283e-07	0.0015745582402461	0.0015745570105436	0.0
single	20260834	4	-1.456167275603811	-1.456165470643656	-0.7800222739754299	-1.8049601551162198e-06	0.0006601304625618	0.0006601299774527	0.0
redundant	20260814	0	0.9083165179349102	0.908316506924016	0.8857446067810125	1.1010894196417098e-08	0.0018358931268062	0.0018358933472911	0.0
redundant	20260814	1	0.9840578912826669	0.9840578810448624	0.9823460774578708	1.0237804493051783e-08	0.0014132504542106	0.0014132513617807	0.0
redundant	20260814	2	0.9766784799840208	0.9766784788423396	0.9683250007277506	1.1416811940279104e-09	0.0011136721157119	0.0011136721702306	0.0
redundant	20260814	3	-0.7412277992908061	-0.7412284779363392	-0.9422944664506888	6.786455331031505e-07	0.0015480395605394	0.0015480401638896	0.0
redundant	20260814	4	-0.1328067879695171	-0.1328067291825945	-0.4176010459058945	-5.878692257987872e-08	0.0012358945518586	0.0012358944877219	0.0
redundant	20260824	0	0.955568733287302	0.9555687443140672	0.9469425916466372	-1.1026765278643325e-08	0.0011456599519058	0.0011456596675807	0.0
redundant	20260824	1	0.9743662217643868	0.974366216653222	0.9759551957217236	5.111164824711523e-09	0.0026018502739019	0.0026018507926895	0.0
redundant	20260824	2	0.9629288818134532	0.962928873360998	0.9615335029122426	8.452455180218976e-09	0.0018521348762262	0.001852135298525	0.0
redundant	20260824	3	0.6149923429661863	0.6149922852859493	0.462597752102925	5.768023703112135e-08	0.0007181651689826	0.0007181652765751	0.0
redundant	20260824	4	-0.8083638231492127	-0.8083603923701617	-0.8010639392718575	-3.4307790510723635e-06	0.0002121857245269	0.0002121853219738	0.0
redundant	20260834	0	0.9166850790769684	0.91668507428986	0.9017186472179058	4.787108376369531e-09	0.001977823707	0.0019778238206418	0.0
redundant	20260834	1	0.9763154974119314	0.9763154989076496	0.973940093423892	-1.4957182159491822e-09	0.0022293088997382	0.0022293087589534	0.0
redundant	20260834	2	0.9677978356734666	0.9677978577028165	0.9602359117772014	-2.2029349899810313e-08	0.0014662515080732	0.0014662505050174	0.0
redundant	20260834	3	0.1496695451391002	0.1496692592199247	0.0700407902881237	2.859191755022472e-07	0.0013664457653752	0.0013664462248355	0.0
redundant	20260834	4	-0.2051430545728521	-0.2051428207381682	-0.5794054226641123	-2.3383468389370776e-07	0.0007974243080179	0.0007974241532932	0.0
complementary	20260814	0	0.8515092120796457	0.8499529023626945	-0.3917913463542932	0.0015563097169511986	0.0026497998491116	0.0026775720046163	0.08844681084156036
complementary	20260814	1	0.7753992357633722	0.7753992599223335	-1.10132954595861	-2.415896127594408e-08	0.0172865784060565	0.0172865765466426	0.0
complementary	20260814	2	0.6129361742750226	0.6129361975820571	0.1070179057342561	-2.330703452457783e-08	0.0221337386757541	0.0221337373429718	0.0
complementary	20260814	3	0.858162378800917	0.858162390801747	-0.6890924378201306	-1.2000830107439242e-08	0.0133317343584422	0.013331733230449	0.0
complementary	20260814	4	0.7945964734763653	0.7935845363546967	-0.5167457685644441	0.0010119371216685824	0.008613524151344	0.0086559593762141	0.11184945702552795
complementary	20260824	0	0.8402981063276659	0.8313793278298066	0.1570944462648418	0.00891877849785927	0.0040389445749745	0.004264505156637	0.36796435713768005
complementary	20260824	1	0.8427459078180922	0.8415113059027097	-0.9618569901062012	0.0012346019153824939	0.014748957584967	0.014864751654499	0.11280658841133118
complementary	20260824	3	0.8353580703003456	0.834542408405234	-0.6030488225937711	0.000815661895111619	0.0173829452034448	0.0174690630353551	0.13073872029781342
complementary	20260824	2	0.6807369347586014	0.6807369186139283	0.2683060620233214	1.614467315391721e-08	0.0200661419414651	0.020066142956181	0.0
complementary	20260824	4	0.8389182189069353	0.8316770953623132	-0.4975916692780373	0.007241123544622141	0.0056001692789017	0.0058519141835343	0.4378213882446289
complementary	20260834	2	0.6011463783894088	0.6008951869206246	0.219549523291923	0.0002511914687841621	0.0218467999357841	0.0218605586920465	0.04376215115189552
complementary	20260834	0	0.8288852916227709	0.8104662648510679	-0.4777058806022698	0.01841902677170304	0.0038804878073076	0.0042981889476006	1.0
complementary	20260834	3	0.8072869842067532	0.7980373587651752	-0.7773962023234888	0.009249625441577924	0.0208712260225757	0.0218729799644187	1.0
complementary	20260834	1	0.811642519315621	0.8010676055318484	-0.8598629162758171	0.010574913783772621	0.0167676131364545	0.0177089936573311	1.0
complementary	20260834	4	0.925676180191364	0.9269588476443102	0.1437247885348033	-0.0012826674529462512	0.0026865046405688	0.0026401414144386	1.0
partial_switching	20260814	0	0.7211724125852037	0.7112886010653507	-0.2384434979740943	0.009883811519852959	0.0050585326910674	0.0052378463097415	1.0
partial_switching	20260814	2	0.1948168754129997	0.1948170073611992	0.2029286085966017	-1.3194819950546055e-07	0.0478875254264715	0.0478875175789737	0.0
partial_switching	20260814	1	0.5680011061672563	0.5627632613455259	-1.0483846595536166	0.0052378448217303974	0.0342116245918247	0.0346264293130161	0.40633976459503174
partial_switching	20260814	3	0.6868746448303854	0.6877405965817254	-0.6823180602965118	-0.0008659517513399662	0.0298346254776837	0.0297521174796681	0.475239634513855
partial_switching	20260814	4	0.6808798221884886	0.6822575466340074	-0.4040514196724172	-0.0013777244455187576	0.0135159088420968	0.0134575571636073	1.0
partial_switching	20260824	0	0.7166259334775502	0.6782246182557929	0.0090103713812654	0.03840131522175727	0.0071775132097327	0.0081501708373615	1.0
partial_switching	20260824	1	0.6389662007889647	0.6310331095388804	-0.980941370660484	0.007933091250084345	0.0339178831831434	0.0346631698097406	0.4386410117149353
partial_switching	20260824	2	0.3401620799808372	0.3401619871838419	0.3872982689754498	9.279699531017371e-08	0.044591123949586	0.0445911302207053	0.0
partial_switching	20260824	3	0.6678479101192557	0.6627503832692884	-0.5475734349098922	0.005097526849967338	0.0366118680465876	0.0371737491428707	0.49334603548049927
partial_switching	20260824	4	0.724347134108829	0.6980200684388019	-0.4140469108710758	0.026327065670027072	0.0097943878768292	0.0107298306918254	1.0
partial_switching	20260834	0	0.7758921726602611	0.7766167136091302	-0.3678313478293971	-0.0007245409488690902	0.0051048516603385	0.0050883476671058	1.0
partial_switching	20260834	1	0.6341732920580312	0.6257842904768928	-0.886172785356754	0.008389001581138422	0.0324816912154558	0.0332265492398943	1.0
partial_switching	20260834	2	0.3605966005242135	0.333223797507958	0.3228050717822125	0.027372803016255498	0.0397082878720116	0.0414081961660939	1.0
partial_switching	20260834	3	0.6612482042075003	0.6539094711105472	-0.7962758928269107	0.007338733096953098	0.0368542997671128	0.0376527128613761	1.0
partial_switching	20260834	4	0.8665679573765581	0.8682968495991308	0.0506114120364428	-0.0017288922225726644	0.0049228595975331	0.0048590736170171	1.0
unrelated_missing_factor	20260814	0	-0.5848830324293284	-0.6633092614818186	-0.6818007849343988	0.07842622905249019	0.0338730735289982	0.0355492460722963	0.46943199634552
unrelated_missing_factor	20260814	1	-1.2813608679634831	-1.2998766692928991	-1.362543052356727	0.018515801329415993	0.2086736511056933	0.2103672717515169	0.16057990491390228
unrelated_missing_factor	20260814	2	0.0374192952000957	0.0249389289490614	0.0027130786211659	0.0124803662510343	0.0384657229731211	0.0389644513482293	0.5132426023483276
unrelated_missing_factor	20260814	3	-47.30172508479654	-43.113821123786245	-44.349440106722696	-4.187903961010292	0.0723536721051749	0.0660803924351228	0.9078629612922668
unrelated_missing_factor	20260814	4	-489.9308783210854	-465.5381745612461	-529.795651278192	-24.39270375983932	0.0855547998335334	0.081303869652265	0.7448312044143677
unrelated_missing_factor	20260824	0	-1.3542816512337763	-1.4680255394771755	-1.7201926052681251	0.1137438882433992	0.0442212655837581	0.0463577553652185	1.0
unrelated_missing_factor	20260824	1	-0.7254901524813016	-0.788414219566065	-0.6885783133078585	0.0629240670847635	0.1729460562868647	0.1792529420330341	1.0
unrelated_missing_factor	20260824	2	-0.104898346066917	-0.1156202928460783	-0.2825702221579309	0.010721946779161301	0.0649828751581687	0.0656134697567424	1.0
unrelated_missing_factor	20260824	3	-33.07287621781806	-30.64451829739028	-25.103766125213262	-2.428357920427782	0.0406694007117936	0.037770911582018	1.0
unrelated_missing_factor	20260824	4	-33.10629500469096	-31.53342887394753	-21.40748354859593	-1.572866130743435	0.0166323369922117	0.015865310273931	1.0
unrelated_missing_factor	20260834	0	-1.0579385225296414	-1.2355660457124211	-1.2639042321319829	0.17762752318277975	0.0397470167866847	0.0431777140929602	1.0
unrelated_missing_factor	20260834	1	-1.0727996599354168	-1.1509270503850098	-1.1490780883075704	0.07812739044959294	0.1996275853721449	0.2071518930070492	0.9073446989059448
unrelated_missing_factor	20260834	2	0.0553581251459264	0.0518728386519883	0.101558866298954	0.003485286493938096	0.0495907183580484	0.0497736849039097	0.6153596043586731
unrelated_missing_factor	20260834	3	-28.055917408224957	-25.741786479257254	-26.303400503642337	-2.3141309289677032	0.0675964183879099	0.0622127658850079	1.0
unrelated_missing_factor	20260834	4	-206.27456908312465	-189.80860103249623	-185.0692060455523	-16.46596805062842	0.0681948413258802	0.0627774180334004	1.0
