epoch	train_loss	validation_loss
0	0.03105750121176243	0.029150571674108505
1	0.031048228964209557	0.02913322113454342
2	0.031039414927363396	0.029116736724972725
3	0.031031202524900436	0.029101552441716194
4	0.03102383017539978	0.029088161885738373
5	0.031017567962408066	0.02907703071832657
6	0.031012671068310738	0.029068531468510628
7	0.03100929781794548	0.029062774032354355
8	0.031007463112473488	0.029059486463665962
9	0.031006906181573868	0.029057903215289116
10	0.031007079407572746	0.02905699424445629
11	0.031007278710603714	0.029055850580334663
12	0.03100694715976715	0.02905404008924961
13	0.03100585751235485	0.029051560908555984
14	0.031004076823592186	0.029048681259155273
15	0.031001819297671318	0.02904575504362583
16	0.030999360606074333	0.029043080285191536
17	0.03099692426621914	0.029040860012173653
18	0.030994681641459465	0.029039157554507256
19	0.030992725864052773	0.029037918895483017
20	0.03099106438457966	0.02903698943555355
21	0.030989646911621094	0.029036149382591248
22	0.030988387763500214	0.029035167768597603
23	0.030987167730927467	0.029033835977315903
24	0.030985893681645393	0.029032016173005104
25	0.030984489247202873	0.02902963012456894
26	0.030982905998826027	0.029026690870523453
27	0.030981149524450302	0.029023250564932823
28	0.030979234725236893	0.0290194284170866
29	0.03097720630466938	0.02901533991098404
