gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score
GABRB3	20	0	0	20	0	0.0	0.0	0.0
NCALD	20	0	0	20	0	0.0	0.0	0.0
ZFP36L1	20	0	0	20	0	0.0	0.0	0.0
SGIP1	20	0	0	20	0	0.0	0.0	0.0
NOTCH1	20	0	0	20	0	0.0	0.0	0.0
HTR2C	8	0	0	8	0	0.0	0.0	0.0
TAFA1	20	0	0	20	0	0.0	0.0	0.0
GRIA1	20	0	0	20	0	0.0	0.0	0.0
LDB2	20	0	0	20	0	0.0	0.0	0.0
GPC4	20	0	0	20	0	0.0	0.0	0.0
NTN1	20	0	0	20	0	0.0	0.0	0.0
SLIT2	20	0	0	20	0	0.0	0.0	0.0
SLC35F3	20	0	0	20	0	0.0	0.0	0.0
CRB1	20	0	0	20	0	0.0	0.0	0.0
GABRB2	20	0	0	20	0	0.0	0.0	0.0
THSD7B	20	0	0	20	0	0.0	0.0	0.0
VWC2L	20	0	0	20	0	0.0	0.0	0.0
ADAMTS18	20	0	0	20	0	0.0	0.0	0.0
PPP2R5A	20	0	0	20	0	0.0	0.0	0.0
MLC1	20	0	0	20	0	0.0	0.0	0.0
CACNA1B	20	0	0	20	0	0.0	0.0	0.0
LRRTM4	20	0	0	20	0	0.0	0.0	0.0
CRYBG3	20	0	0	20	0	0.0	0.0	0.0
KAT2B	20	0	0	20	0	0.0	0.0	0.0
DGKB	20	0	0	20	0	0.0	0.0	0.0
PLCXD3	20	0	0	20	0	0.0	0.0	0.0
LRFN5	20	0	0	20	0	0.0	0.0	0.0
POU4F1	20	0	0	20	0	0.0	0.0	0.0
AK5	20	0	0	20	0	0.0	0.0	0.0
DLGAP2	20	0	0	20	0	0.0	0.0	0.0
PIEZO2	20	0	5	15	1	0.0591446480660582	0.0	0.10597298322652055
FGFR2	20	0	0	20	0	0.0	0.0	0.0
SNRPN	20	0	0	20	0	0.0	0.0	0.0
GRIN3A	20	0	0	20	0	0.0	0.0	0.0
ARAP2	20	0	0	20	0	0.0	0.0	0.0
RBMS3	20	0	0	20	0	0.0	0.0	0.0
EPHA5	20	0	0	20	0	0.0	0.0	0.0
KCNIP4	20	0	1	19	1	0.006982296974092291	0.0	0.004839759461424309
ANOS1	20	0	0	20	0	0.0	0.0	0.0
MACROD2	20	0	0	20	0	0.0	0.0	0.0
ZIC1	20	0	0	20	0	0.0	0.0	0.0
KCNB2	20	0	0	20	0	0.0	0.0	0.0
LRRC4C	20	0	0	20	0	0.0	0.0	0.0
NPY	20	0	0	20	0	0.0	0.0	0.0
NRG1	20	0	0	20	0	0.0	0.0	0.0
PTCHD4	20	0	0	20	0	0.0	0.0	0.0
RYR3	20	0	0	20	0	0.0	0.0	0.0
SKOR2	20	0	0	20	0	0.0	0.0	0.0
SYNE1	20	0	0	20	0	0.0	0.0	0.0
SEMA3C	20	0	1	19	1	0.006082297446313402	0.0	0.00421592732623909
IGSF11	20	0	0	20	0	0.0	0.0	0.0
SPHKAP	20	0	0	20	0	0.0	0.0	0.0
SUCLG2	20	0	0	20	0	0.0	0.0	0.0
ENPP2	20	0	0	20	0	0.0	0.0	0.0
GABRG2	20	0	2	18	1	0.01604399735713683	0.0	0.017626132655909198
ADAMTS12	20	0	0	20	0	0.0	0.0	0.0
CDH9	20	0	0	20	0	0.0	0.0	0.0
MDFIC	20	0	0	20	0	0.0	0.0	0.0
GLUD1	20	0	0	20	0	0.0	0.0	0.0
STMN2	20	0	2	18	1	0.016860544990241262	0.0	0.018523201919920587
CFAP54	20	0	0	20	0	0.0	0.0	0.0
STXBP5	20	0	0	20	0	0.0	0.0	0.0
PAK3	20	0	0	20	0	0.0	0.0	0.0
F3	18	0	1	17	1	0.008362571405189983	0.0	0.005796492791738657
PAK5	20	0	0	20	0	0.0	0.0	0.0
ARHGEF6	20	0	0	20	0	0.0	0.0	0.0
MYCBP2	20	0	0	20	0	0.0	0.0	0.0
OLIG1	20	0	0	20	0	0.0	0.0	0.0
GHR	20	0	0	20	0	0.0	0.0	0.0
CACNA1D	20	0	0	20	0	0.0	0.0	0.0
GASK1B	20	0	0	20	0	0.0	0.0	0.0
JAM2	20	0	0	20	0	0.0	0.0	0.0
NKAIN4	20	0	0	20	0	0.0	0.0	0.0
ACVR1C	20	0	1	19	1	0.027633027649451386	0.0	0.01915375520555224
UNC79	20	0	0	20	0	0.0	0.0	0.0
ELMOD1	20	0	0	20	0	0.0	0.0	0.0
NWD2	20	0	1	19	1	0.07190708617877323	0.0	0.04984219404709767
GOLM1	20	0	0	20	0	0.0	0.0	0.0
KCNMA1	20	0	0	20	0	0.0	0.0	0.0
TTC39B	20	0	0	20	0	0.0	0.0	0.0
ARHGAP20	20	0	0	20	0	0.0	0.0	0.0
STK32B	20	0	0	20	0	0.0	0.0	0.0
ELAVL2	20	0	0	20	0	0.0	0.0	0.0
PCDH7	20	0	0	20	0	0.0	0.0	0.0
DCHS2	20	0	0	20	0	0.0	0.0	0.0
SLC8A3	20	0	0	20	0	0.0	0.0	0.0
CDH4	20	0	0	20	0	0.0	0.0	0.0
CLSTN2	20	0	0	20	0	0.0	0.0	0.0
CADPS	20	0	0	20	0	0.0	0.0	0.0
NSG2	20	0	0	20	0	0.0	0.0	0.0
DOCK8	20	0	0	20	0	0.0	0.0	0.0
GRID1	20	0	0	20	0	0.0	0.0	0.0
PTPN14	20	0	0	20	0	0.0	0.0	0.0
CBLN2	20	0	0	20	0	0.0	0.0	0.0
ZNRF3	20	0	0	20	0	0.0	0.0	0.0
ANK1	20	0	0	20	0	0.0	0.0	0.0
ARPP21	20	0	0	20	0	0.0	0.0	0.0
AFF3	20	0	0	20	0	0.0	0.0	0.0
CST3	20	0	0	20	0	0.0	0.0	0.0
MAP7	20	0	0	20	0	0.0	0.0	0.0
MGAT4C	20	0	0	20	0	0.0	0.0	0.0
DYNC1I1	20	0	0	20	0	0.0	0.0	0.0
LINGO2	20	0	0	20	0	0.0	0.0	0.0
EBF2	20	0	0	20	0	0.0	0.0	0.0
GJA1	20	0	0	20	0	0.0	0.0	0.0
EMB	8	0	0	8	0	0.0	0.0	0.0
GRIP1	20	0	0	20	0	0.0	0.0	0.0
HIVEP3	20	0	0	20	0	0.0	0.0	0.0
SALL1	20	0	0	20	0	0.0	0.0	0.0
BRINP3	20	0	0	20	0	0.0	0.0	0.0
PPP3CA	20	0	0	20	0	0.0	0.0	0.0
PPP2R2B	20	0	0	20	0	0.0	0.0	0.0
HMGA2	20	0	0	20	0	0.0	0.0	0.0
NKAIN2	20	0	0	20	0	0.0	0.0	0.0
DST	20	0	0	20	0	0.0	0.0	0.0
CELF4	20	0	0	20	0	0.0	0.0	0.0
TRPC3	20	0	0	20	0	0.0	0.0	0.0
ADCY2	20	0	0	20	0	0.0	0.0	0.0
TAC1	17	0	0	17	0	0.0	0.0	0.0
SNTG1	20	0	0	20	0	0.0	0.0	0.0
AJAP1	20	0	0	20	0	0.0	0.0	0.0
SUPT3H	20	0	0	20	0	0.0	0.0	0.0
CAMK2B	20	0	0	20	0	0.0	0.0	0.0
SYN3	20	0	0	20	0	0.0	0.0	0.0
SNAP91	20	0	0	20	0	0.0	0.0	0.0
NTM	20	0	0	20	0	0.0	0.0	0.0
ZNF536	20	0	0	20	0	0.0	0.0	0.0
DIPK2B	13	0	0	13	0	0.0	0.0	0.0
UBE3A	20	0	0	20	0	0.0	0.0	0.0
DNM3	20	0	0	20	0	0.0	0.0	0.0
NHS	20	0	0	20	0	0.0	0.0	0.0
HS3ST3A1	20	0	0	20	0	0.0	0.0	0.0
MAGI2	20	0	0	20	0	0.0	0.0	0.0
VWC2	20	0	0	20	0	0.0	0.0	0.0
PLPPR1	20	0	0	20	0	0.0	0.0	0.0
SASH1	20	0	0	20	0	0.0	0.0	0.0
ADCYAP1	20	0	0	20	0	0.0	0.0	0.0
SLITRK2	15	0	0	15	0	0.0	0.0	0.0
MCC	20	0	0	20	0	0.0	0.0	0.0
SV2C	20	0	0	20	0	0.0	0.0	0.0
GRM1	20	0	0	20	0	0.0	0.0	0.0
PRKCB	20	0	2	18	1	0.01238665924385083	0.0	0.013608136060838959
ADCY8	20	0	0	20	0	0.0	0.0	0.0
PCSK1N	20	0	0	20	0	0.0	0.0	0.0
NEBL	20	0	0	20	0	0.0	0.0	0.0
ANKFN1	20	0	0	20	0	0.0	0.0	0.0
