gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score
REPIN1	20	0	0	20	0	0.0	0.0	0.0
OTUD6A	20	0	0	20	0	0.0	0.0	0.0
BTBD2	20	0	0	20	0	0.0	0.0	0.0
IQCE	20	0	0	20	0	0.0	0.0	0.0
PPP1R35	20	0	0	20	0	0.0	0.0	0.0
MAN2B1	20	0	0	20	0	0.0	0.0	0.0
TAS2R19	7	0	0	7	0	0.0	0.0	0.0
FGF11	20	0	0	20	0	0.0	0.0	0.0
EME2	20	0	0	20	0	0.0	0.0	0.0
GLYAT	20	0	0	20	0	0.0	0.0	0.0
AKR1B15	20	0	0	20	0	0.0	0.0	0.0
TRIM62	20	0	0	20	0	0.0	0.0	0.0
NPR2	20	0	0	20	0	0.0	0.0	0.0
ACOT2	20	0	0	20	0	0.0	0.0	0.0
MARCOL	16	0	0	16	0	0.0	0.0	0.0
RASA4	12	0	0	12	0	0.0	0.0	0.0
ZNF350	17	0	0	17	0	0.0	0.0	0.0
TAF6	20	0	0	20	0	0.0	0.0	0.0
CDC34	20	0	0	20	0	0.0	0.0	0.0
MRC1	20	0	0	20	0	0.0	0.0	0.0
LRRC73	20	0	0	20	0	0.0	0.0	0.0
SERTAD1	20	0	0	20	0	0.0	0.0	0.0
PTPA	20	0	0	20	0	0.0	0.0	0.0
GAL3ST4	20	0	0	20	0	0.0	0.0	0.0
THEMIS2	20	0	0	20	0	0.0	0.0	0.0
PRDM6	20	0	0	20	0	0.0	0.0	0.0
RBIS	20	0	0	20	0	0.0	0.0	0.0
RMC1	20	0	0	20	0	0.0	0.0	0.0
AKR1B10	20	0	0	20	0	0.0	0.0	0.0
SLC5A6	20	0	0	20	0	0.0	0.0	0.0
B9D1	20	0	0	20	0	0.0	0.0	0.0
TXNDC9	17	0	0	17	0	0.0	0.0	0.0
TUT7	20	0	0	20	0	0.0	0.0	0.0
SHISA3	20	0	0	20	0	0.0	0.0	0.0
CDAN1	20	0	0	20	0	0.0	0.0	0.0
GOLGA8J	13	0	0	13	0	0.0	0.0	0.0
EMX2	20	0	0	20	0	0.0	0.0	0.0
TPTE2	9	0	0	9	0	0.0	0.0	0.0
HINFP	20	0	0	20	0	0.0	0.0	0.0
OR13A1	20	0	0	20	0	0.0	0.0	0.0
SLC7A3	8	0	0	8	0	0.0	0.0	0.0
TCFL5	20	0	0	20	0	0.0	0.0	0.0
NAT2	20	0	0	20	0	0.0	0.0	0.0
TGM7	19	0	0	19	0	0.0	0.0	0.0
CHP2	20	0	0	20	0	0.0	0.0	0.0
ASB8	20	0	0	20	0	0.0	0.0	0.0
ALPK2	20	0	0	20	0	0.0	0.0	0.0
ACP7	20	0	0	20	0	0.0	0.0	0.0
EID1	16	0	0	16	0	0.0	0.0	0.0
C12orf60	20	0	0	20	0	0.0	0.0	0.0
IGSF23	20	0	0	20	0	0.0	0.0	0.0
TMEM225B	17	0	0	17	0	0.0	0.0	0.0
PLOD3	20	0	0	20	0	0.0	0.0	0.0
TMEM235	20	0	0	20	0	0.0	0.0	0.0
INO80C	20	0	0	20	0	0.0	0.0	0.0
ZNF557	19	0	0	19	0	0.0	0.0	0.0
TMEM244	20	0	0	20	0	0.0	0.0	0.0
ZNF480	19	0	0	19	0	0.0	0.0	0.0
PCED1A	20	0	0	20	0	0.0	0.0	0.0
CDK11B	20	0	0	20	0	0.0	0.0	0.0
NOP2	20	0	0	20	0	0.0	0.0	0.0
TUSC1	20	0	0	20	0	0.0	0.0	0.0
RXRB	20	0	0	20	0	0.0	0.0	0.0
LY6G5C	20	0	0	20	0	0.0	0.0	0.0
ECI2	20	0	0	20	0	0.0	0.0	0.0
OSR2	17	0	0	17	0	0.0	0.0	0.0
ZNF32	19	0	0	19	0	0.0	0.0	0.0
DENND1C	20	0	0	20	0	0.0	0.0	0.0
RNF113B	20	0	0	20	0	0.0	0.0	0.0
RRN3	14	0	0	14	0	0.0	0.0	0.0
SCML2	20	0	0	20	0	0.0	0.0	0.0
TICAM2	20	0	0	20	0	0.0	0.0	0.0
AEN	20	0	0	20	0	0.0	0.0	0.0
DBR1	19	0	0	19	0	0.0	0.0	0.0
C10orf105	20	0	0	20	0	0.0	0.0	0.0
AGBL2	20	0	0	20	0	0.0	0.0	0.0
TEDC2	20	0	0	20	0	0.0	0.0	0.0
