gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score
ZFR2	20	0	0	20	0	0.0	0.0	0.0
FBXW7	20	0	0	20	0	0.0	0.0	0.0
GABRA2	20	0	0	20	0	0.0	0.0	0.0
KCNT2	20	0	0	20	0	0.0	0.0	0.0
FBXL17	20	0	0	20	0	0.0	0.0	0.0
GPR17	20	0	0	20	0	0.0	0.0	0.0
GLCE	20	0	0	20	0	0.0	0.0	0.0
SLC41A2	20	0	0	20	0	0.0	0.0	0.0
KLHL29	20	0	0	20	0	0.0	0.0	0.0
GBX1	20	0	0	20	0	0.0	0.0	0.0
NMBR	18	0	0	18	0	0.0	0.0	0.0
GATM	20	0	0	20	0	0.0	0.0	0.0
PRR5L	20	0	0	20	0	0.0	0.0	0.0
CDH11	20	0	0	20	0	0.0	0.0	0.0
PRICKLE2	20	0	0	20	0	0.0	0.0	0.0
BMPR1A	20	0	0	20	0	0.0	0.0	0.0
GNPTAB	20	0	0	20	0	0.0	0.0	0.0
TMEM200A	20	0	0	20	0	0.0	0.0	0.0
SYT10	11	0	0	11	0	0.0	0.0	0.0
UNC13C	20	0	1	19	1	0.00560617878190481	0.0	0.0038859070163923073
KLHL3	20	0	0	20	0	0.0	0.0	0.0
TRIM36	20	0	0	20	0	0.0	0.0	0.0
TMEM178B	20	0	0	20	0	0.0	0.0	0.0
LRRC7	20	0	0	20	0	0.0	0.0	0.0
BEND4	20	0	0	20	0	0.0	0.0	0.0
CDK14	20	0	0	20	0	0.0	0.0	0.0
CRISPLD1	12	0	0	12	0	0.0	0.0	0.0
CPNE7	20	0	0	20	0	0.0	0.0	0.0
HTR4	20	0	0	20	0	0.0	0.0	0.0
MAPK10	20	0	0	20	0	0.0	0.0	0.0
ST8SIA4	20	0	1	19	1	0.009912318869144504	0.0	0.006870695876958659
PTAR1	20	0	0	20	0	0.0	0.0	0.0
LMBR1	20	0	0	20	0	0.0	0.0	0.0
GLRA3	20	0	0	20	0	0.0	0.0	0.0
