gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score
ACOX3	20	0	0	20	0	0.0	0.0	0.0
ELP1	20	0	0	20	0	0.0	0.0	0.0
TRIM25	20	0	0	20	0	0.0	0.0	0.0
LYRM2	20	0	0	20	0	0.0	0.0	0.0
MBIP	20	0	0	20	0	0.0	0.0	0.0
EYA4	20	0	0	20	0	0.0	0.0	0.0
GLRX	20	0	0	20	0	0.0	0.0	0.0
PRIMPOL	20	0	0	20	0	0.0	0.0	0.0
MINDY2	20	0	0	20	0	0.0	0.0	0.0
ATXN7	20	0	0	20	0	0.0	0.0	0.0
ALG13	17	0	0	17	0	0.0	0.0	0.0
DNAI1	20	0	0	20	0	0.0	0.0	0.0
KLF3	20	0	0	20	0	0.0	0.0	0.0
PARP16	20	0	0	20	0	0.0	0.0	0.0
BACE2	20	0	0	20	0	0.0	0.0	0.0
PDIA5	20	0	0	20	0	0.0	0.0	0.0
NSUN6	20	0	0	20	0	0.0	0.0	0.0
SLC16A2	20	0	0	20	0	0.0	0.0	0.0
CCNC	20	0	0	20	0	0.0	0.0	0.0
AP2M1	20	0	0	20	0	0.0	0.0	0.0
PIGN	20	0	0	20	0	0.0	0.0	0.0
RPS3	20	0	0	20	0	0.0	0.0	0.0
UBE2O	20	0	0	20	0	0.0	0.0	0.0
ZNF19	20	0	0	20	0	0.0	0.0	0.0
CDC16	20	0	0	20	0	0.0	0.0	0.0
CES4A	20	0	0	20	0	0.0	0.0	0.0
POT1	20	0	0	20	0	0.0	0.0	0.0
KLC2	20	0	0	20	0	0.0	0.0	0.0
ZNF333	20	0	0	20	0	0.0	0.0	0.0
PCMTD2	20	0	0	20	0	0.0	0.0	0.0
ZC3H12B	19	0	0	19	0	0.0	0.0	0.0
IL4R	20	0	0	20	0	0.0	0.0	0.0
PAQR9	20	0	1	19	1	0.03238303537967731	0.0	0.022446209671396284
HEATR3	20	0	0	20	0	0.0	0.0	0.0
RANBP9	20	0	0	20	0	0.0	0.0	0.0
DENND4C	20	0	0	20	0	0.0	0.0	0.0
PDXDC1	18	0	0	18	0	0.0	0.0	0.0
AVL9	20	0	0	20	0	0.0	0.0	0.0
ZNF75D	10	0	0	10	0	0.0	0.0	0.0
MAP2K6	20	0	0	20	0	0.0	0.0	0.0
PRPF40B	20	0	0	20	0	0.0	0.0	0.0
CSNK2A1	20	0	0	20	0	0.0	0.0	0.0
RPS27	20	0	0	20	0	0.0	0.0	0.0
SEC11A	20	0	0	20	0	0.0	0.0	0.0
CNOT6L	20	0	0	20	0	0.0	0.0	0.0
