gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score
ABCC9	20	0	1	19	1	0.01046446748949074	0.0	0.007253416136401715
WWTR1	20	0	0	20	0	0.0	0.0	0.0
CNTN5	20	0	0	20	0	0.0	0.0	0.0
RELN	20	0	0	20	0	0.0	0.0	0.0
SVEP1	20	0	0	20	0	0.0	0.0	0.0
RASGRF1	20	0	0	20	0	0.0	0.0	0.0
RAMP1	20	0	0	20	0	0.0	0.0	0.0
LUZP2	20	0	8	12	1	0.049892784854724696	0.0	0.1096256531145494
KCNQ5	20	0	4	16	1	0.11514749319305775	0.0	0.18532274106665464
LIN28B	20	0	0	20	0	0.0	0.0	0.0
FAT4	20	0	0	20	0	0.0	0.0	0.0
IQGAP2	20	0	0	20	0	0.0	0.0	0.0
FAM13A	20	0	0	20	0	0.0	0.0	0.0
DIPK1C	20	0	0	20	0	0.0	0.0	0.0
SOX9	20	0	0	20	0	0.0	0.0	0.0
TENM1	20	0	0	20	0	0.0	0.0	0.0
HCRTR2	20	0	0	20	0	0.0	0.0	0.0
BCL11B	20	0	0	20	0	0.0	0.0	0.0
DPP10	20	0	0	20	0	0.0	0.0	0.0
STXBP6	20	0	0	20	0	0.0	0.0	0.0
FRY	20	0	0	20	0	0.0	0.0	0.0
ZFHX4	20	0	0	20	0	0.0	0.0	0.0
INPP4B	20	0	0	20	0	0.0	0.0	0.0
TNIK	20	0	0	20	0	0.0	0.0	0.0
PLXDC2	20	0	0	20	0	0.0	0.0	0.0
TENM3	20	0	0	20	0	0.0	0.0	0.0
TMEM132B	20	0	0	20	0	0.0	0.0	0.0
FBXL7	20	0	0	20	0	0.0	0.0	0.0
ID2	20	0	0	20	0	0.0	0.0	0.0
ST18	20	0	0	20	0	0.0	0.0	0.0
NETO1	20	0	1	19	1	0.009624554872338164	0.0	0.006671233073905682
NELL2	20	0	0	20	0	0.0	0.0	0.0
NRP1	20	0	0	20	0	0.0	0.0	0.0
OTUD7A	20	0	0	20	0	0.0	0.0	0.0
PROM1	20	0	0	20	0	0.0	0.0	0.0
VSTM2A	20	0	1	19	1	0.00624056908413903	0.0	0.004325632865760529
NKD1	20	0	0	20	0	0.0	0.0	0.0
