gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score
CASP14	20	0	0	20	0	0.0	0.0	0.0
LRRC15	20	0	0	20	0	0.0	0.0	0.0
BOD1	20	0	0	20	0	0.0	0.0	0.0
CLPSL1	20	0	0	20	0	0.0	0.0	0.0
INCA1	20	0	0	20	0	0.0	0.0	0.0
FAM3A	20	0	0	20	0	0.0	0.0	0.0
BLK	20	0	0	20	0	0.0	0.0	0.0
ZNF182	14	0	0	14	0	0.0	0.0	0.0
ZNF778	20	0	0	20	0	0.0	0.0	0.0
C13orf42	20	0	0	20	0	0.0	0.0	0.0
MEP1A	20	0	0	20	0	0.0	0.0	0.0
SMC1B	20	0	0	20	0	0.0	0.0	0.0
AWAT2	19	0	0	19	0	0.0	0.0	0.0
CEMP1	20	0	0	20	0	0.0	0.0	0.0
C11orf98	20	0	0	20	0	0.0	0.0	0.0
CELA1	20	0	0	20	0	0.0	0.0	0.0
MMP19	20	0	1	19	1	0.022352922833041924	0.0	0.015493865438997034
GON7	20	0	0	20	0	0.0	0.0	0.0
TNFAIP2	20	0	0	20	0	0.0	0.0	0.0
MYL5	20	0	0	20	0	0.0	0.0	0.0
ATG101	20	0	0	20	0	0.0	0.0	0.0
ACOD1	20	0	0	20	0	0.0	0.0	0.0
PLEKHF1	20	0	0	20	0	0.0	0.0	0.0
SNRPE	18	0	0	18	0	0.0	0.0	0.0
SYCE3	20	0	0	20	0	0.0	0.0	0.0
TMEM80	20	0	0	20	0	0.0	0.0	0.0
BCKDHA	20	0	0	20	0	0.0	0.0	0.0
FRMD1	20	0	0	20	0	0.0	0.0	0.0
BICRA	20	0	0	20	0	0.0	0.0	0.0
ZNF572	20	0	0	20	0	0.0	0.0	0.0
ZXDA	5	0	0	5	0	0.0	0.0	0.0
EVPL	20	0	0	20	0	0.0	0.0	0.0
DNAAF2	20	0	0	20	0	0.0	0.0	0.0
HCCS	12	0	0	12	0	0.0	0.0	0.0
ARMH2	20	0	0	20	0	0.0	0.0	0.0
SAA4	11	0	0	11	0	0.0	0.0	0.0
SAP25	20	0	1	19	1	0.006374450938456894	0.0	0.004418432695609094
STARD6	15	0	0	15	0	0.0	0.0	0.0
MLPH	20	0	0	20	0	0.0	0.0	0.0
HJV	20	0	0	20	0	0.0	0.0	0.0
OR7C1	20	0	0	20	0	0.0	0.0	0.0
ATP5MGL	20	0	0	20	0	0.0	0.0	0.0
HHIPL2	20	0	0	20	0	0.0	0.0	0.0
TM6SF2	20	0	0	20	0	0.0	0.0	0.0
ZNF22	20	0	0	20	0	0.0	0.0	0.0
GLE1	20	0	0	20	0	0.0	0.0	0.0
ALDH1B1	20	0	0	20	0	0.0	0.0	0.0
ZNF623	20	0	0	20	0	0.0	0.0	0.0
PFN3	20	0	0	20	0	0.0	0.0	0.0
HYI	20	0	0	20	0	0.0	0.0	0.0
SLC13A2	20	0	0	20	0	0.0	0.0	0.0
SIRPB1	20	0	0	20	0	0.0	0.0	0.0
CCDC172	20	0	0	20	0	0.0	0.0	0.0
MMP21	20	0	0	20	0	0.0	0.0	0.0
PHF5A	20	0	0	20	0	0.0	0.0	0.0
ZNF735	4	0	0	4	0	0.0	0.0	0.0
PGPEP1L	20	0	0	20	0	0.0	0.0	0.0
CAPN6	20	0	0	20	0	0.0	0.0	0.0
BTBD16	20	0	0	20	0	0.0	0.0	0.0
RAB5IF	20	0	0	20	0	0.0	0.0	0.0
BTBD18	20	0	0	20	0	0.0	0.0	0.0
DOLPP1	20	0	0	20	0	0.0	0.0	0.0
NKX1-2	20	0	0	20	0	0.0	0.0	0.0
PGBD4	16	0	0	16	0	0.0	0.0	0.0
ABHD4	20	0	0	20	0	0.0	0.0	0.0
PINLYP	20	0	0	20	0	0.0	0.0	0.0
CYP24A1	20	0	0	20	0	0.0	0.0	0.0
SPHK1	20	0	0	20	0	0.0	0.0	0.0
SLC10A6	16	0	1	15	1	0.006909498693282543	0.0	0.0047892995383314214
RAMAC	20	0	0	20	0	0.0	0.0	0.0
MAGEE2	6	0	0	6	0	0.0	0.0	0.0
EMD	20	0	0	20	0	0.0	0.0	0.0
CYP19A1	20	0	0	20	0	0.0	0.0	0.0
SLC51B	20	0	0	20	0	0.0	0.0	0.0
MUC6	20	0	0	20	0	0.0	0.0	0.0
AFP	16	0	0	16	0	0.0	0.0	0.0
ZBTB42	20	0	0	20	0	0.0	0.0	0.0
GPATCH3	20	0	0	20	0	0.0	0.0	0.0
IRF2BP1	20	0	0	20	0	0.0	0.0	0.0
AIP	20	0	0	20	0	0.0	0.0	0.0
TMEM101	20	0	0	20	0	0.0	0.0	0.0
CWH43	13	0	0	13	0	0.0	0.0	0.0
