gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score
TRIM28	13	0	0	13	0	0.0	0.0	0.0
KCNS1	20	0	0	20	0	0.0	0.0	0.0
C19orf67	20	0	0	20	0	0.0	0.0	0.0
DNMT3L	13	0	0	13	0	0.0	0.0	0.0
RABGGTA	20	0	0	20	0	0.0	0.0	0.0
LILRB3	20	0	0	20	0	0.0	0.0	0.0
PCGF1	20	0	0	20	0	0.0	0.0	0.0
HSD17B1	20	0	0	20	0	0.0	0.0	0.0
ASIC3	20	0	0	20	0	0.0	0.0	0.0
TULP1	20	0	0	20	0	0.0	0.0	0.0
WDR18	20	0	0	20	0	0.0	0.0	0.0
FOLR3	20	0	0	20	0	0.0	0.0	0.0
SMPD2	20	0	0	20	0	0.0	0.0	0.0
ZNF835	20	0	0	20	0	0.0	0.0	0.0
AAAS	20	0	0	20	0	0.0	0.0	0.0
STX4	20	0	0	20	0	0.0	0.0	0.0
PLAC8	14	0	0	14	0	0.0	0.0	0.0
TMEM221	20	0	0	20	0	0.0	0.0	0.0
SLFN13	16	0	0	16	0	0.0	0.0	0.0
COL8A2	20	0	0	20	0	0.0	0.0	0.0
INSL3	20	0	0	20	0	0.0	0.0	0.0
SYNGR4	20	0	0	20	0	0.0	0.0	0.0
PPP1R14D	20	0	0	20	0	0.0	0.0	0.0
FBP1	20	0	0	20	0	0.0	0.0	0.0
ARMS2	20	0	0	20	0	0.0	0.0	0.0
CLIC6	20	0	0	20	0	0.0	0.0	0.0
ZNF784	20	0	0	20	0	0.0	0.0	0.0
USP17L2	2	0	0	2	0	0.0	0.0	0.0
SUV39H1	20	0	0	20	0	0.0	0.0	0.0
SOD3	20	0	1	19	1	0.018028178351018078	0.0	0.012496180994640024
ROM1	20	0	0	20	0	0.0	0.0	0.0
BCL2A1	20	0	0	20	0	0.0	0.0	0.0
TLR9	20	0	0	20	0	0.0	0.0	0.0
SMIM6	20	0	0	20	0	0.0	0.0	0.0
SSR2	20	0	0	20	0	0.0	0.0	0.0
UGT3A2	19	0	0	19	0	0.0	0.0	0.0
DYRK1B	11	0	0	11	0	0.0	0.0	0.0
