gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score
TRAPPC3L	20	0	0	20	0	0.0	0.0	0.0
OTX2	20	0	0	20	0	0.0	0.0	0.0
B4GALT2	20	0	0	20	0	0.0	0.0	0.0
HERC5	14	0	0	14	0	0.0	0.0	0.0
AMDHD1	20	0	0	20	0	0.0	0.0	0.0
ADH4	12	0	0	12	0	0.0	0.0	0.0
MAN2C1	18	0	0	18	0	0.0	0.0	0.0
THOP1	20	0	0	20	0	0.0	0.0	0.0
CDH15	20	0	0	20	0	0.0	0.0	0.0
BLOC1S2	20	0	0	20	0	0.0	0.0	0.0
METTL26	20	0	0	20	0	0.0	0.0	0.0
ZNF223	20	0	0	20	0	0.0	0.0	0.0
CENPS	20	0	0	20	0	0.0	0.0	0.0
FKRP	20	0	0	20	0	0.0	0.0	0.0
HIGD2B	20	0	0	20	0	0.0	0.0	0.0
TRIM4	19	0	0	19	0	0.0	0.0	0.0
VPS33B	20	0	0	20	0	0.0	0.0	0.0
PCDHB11	20	0	0	20	0	0.0	0.0	0.0
MYOT	20	0	0	20	0	0.0	0.0	0.0
ADAM20	17	0	0	17	0	0.0	0.0	0.0
ITGB2	20	0	0	20	0	0.0	0.0	0.0
ZWINT	17	0	0	17	0	0.0	0.0	0.0
URAD	20	0	0	20	0	0.0	0.0	0.0
ZBTB48	20	0	0	20	0	0.0	0.0	0.0
DENND4B	20	0	0	20	0	0.0	0.0	0.0
CLEC9A	20	0	0	20	0	0.0	0.0	0.0
LCA5L	20	0	1	19	1	0.037679803693206	0.0	0.02611764969399795
GRM6	15	0	0	15	0	0.0	0.0	0.0
CTSD	20	0	0	20	0	0.0	0.0	0.0
IL9R	3	0	0	3	0	0.0	0.0	0.0
SPINK8	20	0	0	20	0	0.0	0.0	0.0
TRIM42	20	0	0	20	0	0.0	0.0	0.0
ZNF770	20	0	0	20	0	0.0	0.0	0.0
CES5A	20	0	0	20	0	0.0	0.0	0.0
CLN8	20	0	0	20	0	0.0	0.0	0.0
SOWAHA	20	0	0	20	0	0.0	0.0	0.0
NCKIPSD	20	0	0	20	0	0.0	0.0	0.0
PRXL2C	20	0	0	20	0	0.0	0.0	0.0
RGL4	20	0	0	20	0	0.0	0.0	0.0
GPX4	20	0	0	20	0	0.0	0.0	0.0
DCTN5	20	0	0	20	0	0.0	0.0	0.0
AVIL	20	0	0	20	0	0.0	0.0	0.0
MESP2	20	0	0	20	0	0.0	0.0	0.0
NUDT2	20	0	0	20	0	0.0	0.0	0.0
PAX1	20	0	0	20	0	0.0	0.0	0.0
CCDC120	20	0	0	20	0	0.0	0.0	0.0
CYC1	20	0	0	20	0	0.0	0.0	0.0
NLRP1	20	0	2	18	1	0.024235723287248535	0.0	0.026625663428131118
MMEL1	20	0	0	20	0	0.0	0.0	0.0
BTF3	20	0	0	20	0	0.0	0.0	0.0
CASP2	20	0	0	20	0	0.0	0.0	0.0
SHC1	20	0	0	20	0	0.0	0.0	0.0
SMPDL3A	20	0	0	20	0	0.0	0.0	0.0
GSTO1	20	0	0	20	0	0.0	0.0	0.0
XRCC6	20	0	0	20	0	0.0	0.0	0.0
BNIP1	20	0	0	20	0	0.0	0.0	0.0
SIAH1	20	0	0	20	0	0.0	0.0	0.0
CETN2	15	0	4	11	1	0.025356868056166035	0.0	0.040810304790182786
SDHAF1	20	0	0	20	0	0.0	0.0	0.0
LRRC53	20	0	0	20	0	0.0	0.0	0.0
ENKD1	20	0	0	20	0	0.0	0.0	0.0
ZPR1	20	0	0	20	0	0.0	0.0	0.0
CPZ	20	0	0	20	0	0.0	0.0	0.0
ZNF564	20	0	0	20	0	0.0	0.0	0.0
PHEX	20	0	0	20	0	0.0	0.0	0.0
PCDHA13	20	0	0	20	0	0.0	0.0	0.0
SIRT3	19	0	0	19	0	0.0	0.0	0.0
NDUFB11	20	0	0	20	0	0.0	0.0	0.0
TIRAP	20	0	0	20	0	0.0	0.0	0.0
CDIPT	20	0	0	20	0	0.0	0.0	0.0
PLVAP	20	0	0	20	0	0.0	0.0	0.0
IL17RE	20	0	0	20	0	0.0	0.0	0.0
TREX2	20	0	0	20	0	0.0	0.0	0.0
BTNL8	20	0	0	20	0	0.0	0.0	0.0
TEX53	20	0	0	20	0	0.0	0.0	0.0
FANCM	14	0	0	14	0	0.0	0.0	0.0
UPF1	20	0	0	20	0	0.0	0.0	0.0
PROB1	20	0	0	20	0	0.0	0.0	0.0
BIN3	20	0	0	20	0	0.0	0.0	0.0
TRIP13	20	0	0	20	0	0.0	0.0	0.0
