enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.021927226334810257	0.044633932411670685	0.022706706076860428
0	0	0.014873892068862915	0.0764666274189949	0.06159273535013199
0	1	0.03133166953921318	0.002190343104302883	-0.029141326434910297
1	all_test	0.021927226334810257	0.019283035770058632	-0.002644190564751625
1	0	0.014873892068862915	0.002721488708630204	-0.01215240336023271
1	1	0.03133166953921318	0.04136509820818901	0.01003342866897583
2	all_test	0.021927226334810257	0.021828070282936096	-9.915605187416077e-05
2	0	0.014873892068862915	0.014797168783843517	-7.672328501939774e-05
2	1	0.03133166953921318	0.031202610582113266	-0.00012905895709991455
3	all_test	0.021927226334810257	0.017255770042538643	-0.004671456292271614
3	0	0.014873892068862915	0.011381140910089016	-0.003492751158773899
3	1	0.03133166953921318	0.025088606402277946	-0.006243063136935234
