enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.005273307207971811	0.005273307207971811	0.0
0	0	0.0057848794385790825	0.0057848794385790825	0.0
0	1	0.004591211210936308	0.004591211210936308	0.0
1	all_test	0.005273307207971811	0.20785509049892426	0.20258178329095244
1	0	0.0057848794385790825	0.28154414892196655	0.27575926948338747
1	1	0.004591211210936308	0.10960296541452408	0.10501175420358777
2	all_test	0.005273307207971811	0.005273307207971811	0.0
2	0	0.0057848794385790825	0.0057848794385790825	0.0
2	1	0.004591211210936308	0.004591211210936308	0.0
3	all_test	0.005273307207971811	0.005273307207971811	0.0
3	0	0.0057848794385790825	0.0057848794385790825	0.0
3	1	0.004591211210936308	0.004591211210936308	0.0
