scenario	runs	enabled	mean_r2_gain	min_r2_gain	max_r2_gain	mean_gate_gain	worst_internal_gain
complementary	5	0	7.647518274200849e-08	-5.95623403931711e-08	2.331675756916951e-07	-0.02070982689037919	-0.12165918946266174
unrelated_missing_factor	5	0	1.583058698399753e-06	-7.093553877624004e-08	5.75542840408616e-06	-0.08772433823905885	-0.28234484791755676
