run	scenario	fold	enabled	strength	gate_mean_gain	gate_worst_gain	spatial_r2	elastic_r2	r2_gain
complementary_seed20260874_fold0	complementary	0	False	0.0	-0.006196245085448027	-0.024784980341792107	0.7188888844542203	0.7188889417508284	-5.729660812470172e-08
complementary_seed20260874_fold1	complementary	1	False	0.0	-0.021844038739800453	-0.08737615495920181	0.6889094408028915	0.6889095003652319	-5.95623403931711e-08
complementary_seed20260874_fold2	complementary	2	False	0.0	-0.020602252334356308	-0.08240900933742523	0.4489308555440597	0.4489306307270759	2.248169838070524e-07
complementary_seed20260874_fold3	complementary	3	False	0.0	-0.043858954682946205	-0.12165918946266174	0.7925456796845418	0.7925456384342391	4.125030272916774e-08
complementary_seed20260874_fold4	complementary	4	False	0.0	-0.01104764360934496	-0.04419057443737984	0.8691662649603895	0.8691660317928138	2.331675756916951e-07
unrelated_missing_factor_seed20260874_fold0	unrelated_missing_factor	0	False	0.0	-0.1021603203844279	-0.20774978399276733	-0.8235741771196292	-0.8235742110477047	3.392807546021004e-08
unrelated_missing_factor_seed20260874_fold1	unrelated_missing_factor	1	False	0.0	-0.13475611060857773	-0.28234484791755676	-1.2169071823851292	-1.2169071114495904	-7.093553877624004e-08
unrelated_missing_factor_seed20260874_fold2	unrelated_missing_factor	2	False	0.0	-0.09442788735032082	-0.19791896641254425	-0.0085444005056609	-0.0085443954039079	-5.101752999225884e-09
unrelated_missing_factor_seed20260874_fold3	unrelated_missing_factor	3	False	0.0	-0.05303405411541462	-0.14470243453979492	-89.27458281717007	-89.27458857259847	5.75542840408616e-06
unrelated_missing_factor_seed20260874_fold4	unrelated_missing_factor	4	False	0.0	-0.05424331873655319	-0.15103234350681305	-54.73813929154242	-54.73814149351672	2.2019743042278606e-06
