epoch	train_loss	validation_loss	train_reconstruction	train_safety	train_attribution	validation_reconstruction	validation_safety	validation_attribution
0	0.7296196222305298	0.7196389436721802	0.03444637358188629	0.06310707330703735	0.3442192077636719	0.03200477734208107	0.060836561024188995	0.34056633710861206
1	0.7217616438865662	0.7119720578193665	0.03242253512144089	0.059193529188632965	0.3415006399154663	0.030086472630500793	0.05706231668591499	0.33788353204727173
2	0.7140910625457764	0.7044808268547058	0.030504535883665085	0.05548495054244995	0.33881255984306335	0.02826978825032711	0.05348733067512512	0.33522772789001465
3	0.7065955400466919	0.697151243686676	0.028688112273812294	0.051973097026348114	0.3361513018608093	0.02655022032558918	0.05010278895497322	0.3325945734977722
4	0.6992605924606323	0.6899659037590027	0.026968730613589287	0.048649199306964874	0.3335123658180237	0.02492288500070572	0.04689912125468254	0.329978346824646
5	0.6920692324638367	0.6829085946083069	0.02534155547618866	0.04550386220216751	0.33089011907577515	0.023383252322673798	0.043867435306310654	0.3273736238479614
6	0.6850053071975708	0.6759639978408813	0.02380206249654293	0.042528294026851654	0.32827919721603394	0.021926579996943474	0.040998391807079315	0.3247755765914917
7	0.6780529022216797	0.6691146492958069	0.02234550379216671	0.039713259786367416	0.32567450404167175	0.0205476563423872	0.038281701505184174	0.32217860221862793
8	0.671195387840271	0.6623435020446777	0.02096668817102909	0.03704865276813507	0.32307079434394836	0.019241083413362503	0.03570673614740372	0.3195774257183075
9	0.6644151210784912	0.6556335687637329	0.0196602214127779	0.03452400118112564	0.32046249508857727	0.018001681193709373	0.03326325863599777	0.3169666528701782
10	0.6576954126358032	0.6489696502685547	0.01842094585299492	0.032129254192113876	0.31784433126449585	0.016824770718812943	0.03094201721251011	0.3143414855003357
11	0.6510211825370789	0.6423389315605164	0.017244184389710426	0.029855335131287575	0.31521156430244446	0.015706347301602364	0.028735075145959854	0.31169793009757996
12	0.6443792581558228	0.6357309818267822	0.016125930473208427	0.027694430202245712	0.3125600218772888	0.014643074944615364	0.02663581445813179	0.30903276801109314
13	0.6377594470977783	0.6291377544403076	0.015062867663800716	0.025640061125159264	0.3098865747451782	0.013632265850901604	0.024638867005705833	0.30634358525276184
14	0.6311535835266113	0.6225535273551941	0.014052314683794975	0.023686980828642845	0.3071887493133545	0.01267179660499096	0.022739993408322334	0.3036288321018219
15	0.6245561838150024	0.6159751415252686	0.01309215184301138	0.021831030026078224	0.30446508526802063	0.0117599843069911	0.020935799926519394	0.3008878827095032
16	0.6179638504981995	0.6094008088111877	0.012180698104202747	0.020068885758519173	0.3017148971557617	0.010895462706685066	0.01922352984547615	0.2981207072734833
17	0.6113750338554382	0.6028302907943726	0.011316604912281036	0.018397869542241096	0.29893818497657776	0.010077121667563915	0.01760091632604599	0.2953278422355652
18	0.6047893762588501	0.5962643623352051	0.010498755611479282	0.01681576296687126	0.29613548517227173	0.009303995408117771	0.016065984964370728	0.2925102412700653
19	0.5982077121734619	0.5897048711776733	0.009726202115416527	0.015320648439228535	0.29330775141716003	0.008575232699513435	0.01461697556078434	0.289669394493103
20	0.5916318893432617	0.583154022693634	0.008998090401291847	0.013910815119743347	0.2904564440250397	0.007890059612691402	0.013252283446490765	0.2868068218231201
21	0.5850641131401062	0.5766146183013916	0.00831365305930376	0.012584701180458069	0.2875831127166748	0.007247745990753174	0.011970387771725655	0.2839243710041046
22	0.5785072445869446	0.5700898170471191	0.007672169711440802	0.01134084165096283	0.28468963503837585	0.006647625472396612	0.01076988410204649	0.2810240685939789
23	0.5719645619392395	0.5635829567909241	0.007072976790368557	0.010177882388234138	0.2817780375480652	0.006089065223932266	0.009649441577494144	0.2781079113483429
24	0.5654391646385193	0.5570977330207825	0.00651544751599431	0.00909453071653843	0.278850257396698	0.005571488756686449	0.008607828989624977	0.27517813444137573
25	0.5589351058006287	0.5506380796432495	0.005999013781547546	0.008089618757367134	0.2759086787700653	0.005094379652291536	0.0076439352706074715	0.27223703265190125
26	0.5524562001228333	0.5442082285881042	0.005523159634321928	0.007162068039178848	0.2729554772377014	0.004657276440411806	0.0067567480728030205	0.26928696036338806
27	0.5460066795349121	0.5378125905990601	0.005087435711175203	0.0063109309412539005	0.2699930667877197	0.004259799141436815	0.005945417098701	0.266330361366272
28	0.5395909547805786	0.5314558148384094	0.0046914611011743546	0.005535394884645939	0.2670239210128784	0.003901642980054021	0.005209233611822128	0.2633697986602783
29	0.5332137942314148	0.5251429677009583	0.004334940109401941	0.004834804218262434	0.26405054330825806	0.003582589328289032	0.004547658376395702	0.2604078948497772
30	0.5268844366073608	0.5188795328140259	0.004017659928649664	0.004250324331223965	0.2610756456851959	0.003302518744021654	0.0039603435434401035	0.2574474811553955
