enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.005102752707898617	0.005102752707898617	0.0
0	0	0.005503587890416384	0.005503587890416384	0.0
0	1	0.004568306729197502	0.004568306729197502	0.0
1	all_test	0.005102752707898617	0.16699321568012238	0.16189046297222376
1	0	0.005503587890416384	0.23886267840862274	0.23335909051820636
1	1	0.004568306729197502	0.07116728276014328	0.06659897603094578
2	all_test	0.005102752707898617	0.005102752707898617	0.0
2	0	0.005503587890416384	0.005503587890416384	0.0
2	1	0.004568306729197502	0.004568306729197502	0.0
3	all_test	0.005102752707898617	0.005102752707898617	0.0
3	0	0.005503587890416384	0.005503587890416384	0.0
3	1	0.004568306729197502	0.004568306729197502	0.0
