epoch	train_loss	validation_loss
0	0.06374034285545349	0.06472189724445343
1	0.06349001079797745	0.06448881328105927
2	0.06324966251850128	0.0642649456858635
3	0.063018798828125	0.06404966115951538
4	0.06279674917459488	0.06384214758872986
5	0.06258268654346466	0.06364147365093231
6	0.062375664710998535	0.06344668567180634
7	0.062174681574106216	0.06325674057006836
8	0.06197870522737503	0.0630706176161766
9	0.06178664416074753	0.0628872662782669
10	0.06159742921590805	0.06270565092563629
11	0.06140998750925064	0.06252479553222656
12	0.06122331693768501	0.062343768775463104
13	0.06103644520044327	0.06216172128915787
14	0.060848481953144073	0.06197787821292877
15	0.06065862253308296	0.06179150566458702
16	0.06046612188220024	0.06160195544362068
17	0.060270294547080994	0.061408620327711105
18	0.06007050722837448	0.06121091544628143
19	0.05986615642905235	0.061008304357528687
20	0.05965668708086014	0.060800258070230484
21	0.05944154039025307	0.06058625131845474
22	0.05922018364071846	0.060365818440914154
23	0.05899212136864662	0.06013847142457962
24	0.05875684320926666	0.05990377068519592
25	0.058513883501291275	0.05966128781437874
26	0.05826281011104584	0.05941060930490494
27	0.05800318345427513	0.05915134772658348
28	0.05773457512259483	0.05888311564922333
29	0.057456593960523605	0.05860554426908493
