epoch	train_loss	validation_loss	train_reconstruction	train_safety	train_attribution	validation_reconstruction	validation_safety	validation_attribution
0	0.21004199981689453	0.21156097948551178	0.06829793751239777	0.12902674078941345	0.38355544209480286	0.06463851779699326	0.11937747150659561	0.4331151247024536
1	0.19973596930503845	0.2012406885623932	0.0636201873421669	0.11993632465600967	0.37818643450737	0.060020554810762405	0.11052049696445465	0.42679300904273987
2	0.1900480091571808	0.1915479153394699	0.059232741594314575	0.1114087849855423	0.37304776906967163	0.055696628987789154	0.1022283062338829	0.4207250773906708
3	0.18094977736473083	0.1824493408203125	0.055122215300798416	0.10341821610927582	0.3681294620037079	0.05165105313062668	0.09447082877159119	0.4148983061313629
4	0.17240998148918152	0.1739094853401184	0.05127394571900368	0.09593625366687775	0.3634192943572998	0.0478673130273819	0.08721624314785004	0.4092975854873657
5	0.16439548134803772	0.16589534282684326	0.04767250269651413	0.08893294632434845	0.3589036762714386	0.04433004558086395	0.08043505996465683	0.4039083421230316
6	0.156875342130661	0.1583763211965561	0.04430348426103592	0.08238047361373901	0.35456934571266174	0.04102501645684242	0.07409994304180145	0.3987171947956085
7	0.1498209536075592	0.1513238251209259	0.04115362837910652	0.07625313103199005	0.35040414333343506	0.03793890401721001	0.06818527728319168	0.39371180534362793
8	0.14320547878742218	0.14471089839935303	0.038210414350032806	0.07052665203809738	0.3463969826698303	0.03505907952785492	0.06266678124666214	0.38888126611709595
9	0.1370033621788025	0.1385115385055542	0.0354619100689888	0.06517790257930756	0.34253764152526855	0.03237339109182358	0.057521093636751175	0.38421475887298584
10	0.13119009137153625	0.13270074129104614	0.032896630465984344	0.06018463894724846	0.3388165235519409	0.02987016551196575	0.05272573232650757	0.3797018826007843
11	0.12574192881584167	0.12725438177585602	0.03050350770354271	0.05552535131573677	0.3352241814136505	0.027538176625967026	0.04825914651155472	0.3753320872783661
12	0.12063609808683395	0.12214965373277664	0.02827191725373268	0.05117945745587349	0.33175128698349	0.02536682039499283	0.044100917875766754	0.37109535932540894
13	0.11585086584091187	0.11736471951007843	0.026191767305135727	0.04712735861539841	0.3283887505531311	0.023346001282334328	0.04023164138197899	0.36698153614997864
14	0.11136560142040253	0.11287903785705566	0.0242534838616848	0.04335048422217369	0.3251276910305023	0.021466268226504326	0.036633145064115524	0.3629807233810425
15	0.10716085135936737	0.10867325216531754	0.022448081523180008	0.03983139246702194	0.32195940613746643	0.01971871219575405	0.03328828141093254	0.35908350348472595
16	0.10321817547082901	0.1047290563583374	0.020767055451869965	0.03655356913805008	0.3188755214214325	0.01809496060013771	0.030180957168340683	0.3552805483341217
17	0.09952016174793243	0.10102920234203339	0.019202416762709618	0.03350149840116501	0.3158678114414215	0.016587160527706146	0.027296077460050583	0.35156261920928955
18	0.09605042636394501	0.09755753725767136	0.01774664968252182	0.03066057525575161	0.3129284083843231	0.015187976881861687	0.024619515985250473	0.3479209840297699
19	0.0927935317158699	0.0943051129579544	0.016392715275287628	0.028017133474349976	0.31004956364631653	0.01389303058385849	0.02214283123612404	0.34435388445854187
20	0.0897408202290535	0.09126296639442444	0.015136411413550377	0.025563012808561325	0.3072293698787689	0.012697892263531685	0.01985747739672661	0.3408600091934204
21	0.0868835598230362	0.08842091262340546	0.013973467983305454	0.023289944976568222	0.304466187953949	0.011597623117268085	0.017753932625055313	0.3374369442462921
22	0.08421191573143005	0.08576826006174088	0.012899148277938366	0.021188732236623764	0.30175748467445374	0.01058707945048809	0.015822291374206543	0.3340816795825958
23	0.08171557635068893	0.08329422771930695	0.01190849207341671	0.019249746575951576	0.2991006374359131	0.0096611138433218	0.014052638784050941	0.3307908773422241
24	0.07938411831855774	0.08098827302455902	0.01099651213735342	0.017463302239775658	0.29649263620376587	0.00881467666476965	0.012435254640877247	0.3275614082813263
25	0.0772073045372963	0.07884024828672409	0.010158317163586617	0.015819894149899483	0.2939305901527405	0.008042922243475914	0.010960804298520088	0.32439011335372925
26	0.07517532259225845	0.07684052735567093	0.009389195591211319	0.014310359954833984	0.2914119064807892	0.007341236807405949	0.009620415978133678	0.32127413153648376
27	0.07327882200479507	0.07498012483119965	0.008684658445417881	0.012925973162055016	0.2889341115951538	0.006705294828861952	0.008405759930610657	0.31821098923683167
28	0.07150908559560776	0.0732506811618805	0.008040486834943295	0.01165852416306734	0.28649523854255676	0.006131041329354048	0.007309029810130596	0.315198689699173
29	0.06985796988010406	0.07164444774389267	0.007452713325619698	0.010500305332243443	0.2840937376022339	0.005614704918116331	0.0063229710794985294	0.31223559379577637
