gene	n_candidate_peaks_tested	n_significant_positive_links	latent_mask_fraction	mask_low_center	mask_high_center	control_p99	n_enhancers_retained	rank_eligible	note	median_difference_structure_score	mean_difference_structure_score	top3_mean_difference_structure_score	max_difference_structure_score	std_difference_structure_score	absolute_divergence_score	absolute_rank
snai1a	70	59	0.10206896551724139	0.04129803070228398	0.35127192693562986	40.47896807707786	59	True		1.1641963214736688	1.1080105700039717	1.9418613025675457	2.103564760524219	0.4627145223890906	1.4752623139112195	38.0
cbx3a	33	16	0.4176640711902114	0.11143826055347932	0.2341746443144239	22.74397429327632	16	True		1.343810533290688	1.1980089381196934	1.6588154429375368	1.8048142597131682	0.4180896182722527	1.4698124971494275	39.0
creb3l2	60	52	0.0635372636262514	0.0489811812850724	0.23513219675804284	36.64577499041565	52	True		1.1971929003092217	1.1991820150133552	1.8704778159471365	2.074250996621011	0.34459493359433524	1.4665068665643877	40.0
foxg1a	70	62	0.021090100111234706	0.00578899042649207	0.42120631014647475	66.04670861316197	62	True		1.072199492438223	1.0108363559158648	2.0478910078605375	2.2624077668735154	0.43461352635184924	1.4624760986071488	41.0
ncapd2	41	26	0.41699666295884313	0.0792075556544847	0.21642212916794804	20.904415917659396	26	True		1.262730952743837	1.219891598452511	1.750589776126013	1.7857866428615066	0.3919359824532639	1.4578744820967073	42.0
ntd5	65	55	0.01988876529477197	0.01200577159034953	0.5396092305061388	112.49725747095289	55	True		0.9119941897408425	1.028601596926761	2.2682792426854506	2.5677327106103327	0.49741262438398365	1.4545082109186858	43.0
rasgef1ba	71	58	0.1103448275862069	0.043240356959014056	0.2716441766998399	32.28877513086213	58	True		1.0489828788361608	1.0861792509025634	2.0624991423826344	2.170305045240833	0.4353263055502841	1.4543893842547502	44.0
nasp	49	31	0.2274972191323693	0.05424615519848923	0.25440511279292416	50.436721499531586	31	True		1.1967202598956255	1.1830877882747524	1.8392683062180344	1.913077883682259	0.37820827843169946	1.453739478424589	45.0
si:ch211-163l21.7	57	36	0.0008898776418242492	0.0044227888640653535	0.11578259514842393	2.769258107005864	36	True		1.2559108605887674	1.2157305022021854	1.744865469469963	1.9410339916467865	0.26238138352459267	1.4514927041412458	46.0
tbxta	58	48	0.04596218020022247	0.012289928080312826	0.4089145309848232	114.4788614968926	48	True		0.9844976380728367	1.075649095501309	2.1491322512912316	2.272414807978401	0.4986253251577709	1.4503514833601947	47.0
si:ch211-155e24.3	38	21	0.21512791991101224	0.04863751096767059	0.169642575801615	15.42137970228779	21	True		1.3288296700365088	1.1286269177171522	1.6155179552822816	1.710527046813756	0.4339307920611288	1.443504984134818	48.0
rac1a	45	28	0.25624026696329255	0.055015762926072326	0.13534047524937404	19.25777777777778	28	True		1.1768390318761104	1.2004316291328279	1.8346944585457	1.9679481073995788	0.3639453513502889	1.4399812025439462	49.0
rcc1	28	20	0.27479421579532815	0.06572083796599988	0.19679773675186604	18.58238414974795	20	True		1.2328269593397745	1.279266685563543	1.7452974591187944	1.8347849662516396	0.33223885038968776	1.4378151592513824	50.0
fn1b	70	60	0.2331479421579533	0.0142341730179384	0.29397268592099257	129.02242097121902	60	True		1.2174807342432192	1.1614764471210042	1.7547239328922029	1.8453743441443793	0.3492203222044525	1.4323780137028126	51.0
