model	mse	r2	pearson	selected_enhancer	coefficients
spatial_attribution	0.013269149277078054	0.25641688301601107	0.9297046303231211		
spatial_mean	0.021618446517027295	-0.21146514443483988	0.0		
best_single	0.024836345413848628	-0.39179134635429325	-0.13214250328696775	1.0	
global_elastic_net	0.002677572004616376	0.8499529023626945	0.9549769370798551		[0.7941115674856895, 0.8434418143109955, 0.22719815626029205, 0.0]
