gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	screen_rank
SLBP	20	0	0	20	0	0.0	0.0	0.0	10160
TNFRSF13C	20	0	0	20	0	0.0	0.0	0.0	10161
ALKBH6	20	0	0	20	0	0.0	0.0	0.0	10162
DMAC2	20	0	0	20	0	0.0	0.0	0.0	10163
JTB	20	0	0	20	0	0.0	0.0	0.0	10164
EGFL7	20	0	0	20	0	0.0	0.0	0.0	10165
CRYGS	20	0	0	20	0	0.0	0.0	0.0	10166
ZNHIT1	20	0	0	20	0	0.0	0.0	0.0	10167
TLR3	20	0	0	20	0	0.0	0.0	0.0	10168
HNRNPUL2	20	0	0	20	0	0.0	0.0	0.0	10169
FGF18	20	0	0	20	0	0.0	0.0	0.0	10170
TIPIN	20	0	0	20	0	0.0	0.0	0.0	10171
RESF1	19	0	0	19	0	0.0	0.0	0.0	10172
UBXN11	20	0	0	20	0	0.0	0.0	0.0	10173
COA6	20	0	0	20	0	0.0	0.0	0.0	10174
ZNF696	20	0	0	20	0	0.0	0.0	0.0	10175
ODF2	20	0	0	20	0	0.0	0.0	0.0	10176
KCNK18	20	0	0	20	0	0.0	0.0	0.0	10177
TMCO5A	20	0	0	20	0	0.0	0.0	0.0	10178
MSANTD1	20	0	0	20	0	0.0	0.0	0.0	10179
SERPIND1	19	0	0	19	0	0.0	0.0	0.0	10180
ZNF787	20	0	0	20	0	0.0	0.0	0.0	10181
MMAB	20	0	0	20	0	0.0	0.0	0.0	10182
KISS1R	20	0	0	20	0	0.0	0.0	0.0	10183
CYB5RL	20	0	0	20	0	0.0	0.0	0.0	10184
SUN3	20	0	0	20	0	0.0	0.0	0.0	10185
KRTCAP2	20	0	0	20	0	0.0	0.0	0.0	10186
ANKRD39	20	0	0	20	0	0.0	0.0	0.0	10187
HEMGN	20	0	0	20	0	0.0	0.0	0.0	10188
DFFA	20	0	0	20	0	0.0	0.0	0.0	10189
RPP38	20	0	0	20	0	0.0	0.0	0.0	10190
RAB35	20	0	0	20	0	0.0	0.0	0.0	10191
ERLIN1	20	0	0	20	0	0.0	0.0	0.0	10192
BFAR	16	0	0	16	0	0.0	0.0	0.0	10193
BEND2	20	0	0	20	0	0.0	0.0	0.0	10194
OR6P1	7	0	0	7	0	0.0	0.0	0.0	10195
DRG1	20	0	0	20	0	0.0	0.0	0.0	10196
TAS2R14	11	0	0	11	0	0.0	0.0	0.0	10197
TACO1	20	0	0	20	0	0.0	0.0	0.0	10198
OMD	11	0	0	11	0	0.0	0.0	0.0	10199
NIFK	20	0	0	20	0	0.0	0.0	0.0	10200
AUP1	20	0	0	20	0	0.0	0.0	0.0	10201
RBMXL1	20	0	0	20	0	0.0	0.0	0.0	10202
TRAPPC2	20	0	0	20	0	0.0	0.0	0.0	10203
TMEM88	20	0	0	20	0	0.0	0.0	0.0	10204
FGFRL1	20	0	0	20	0	0.0	0.0	0.0	10205
HNRNPA0	20	0	0	20	0	0.0	0.0	0.0	10206
TTC32	20	0	0	20	0	0.0	0.0	0.0	10207
SH2D5	20	0	0	20	0	0.0	0.0	0.0	10208
HAUS5	20	0	0	20	0	0.0	0.0	0.0	10209
GJA3	20	0	0	20	0	0.0	0.0	0.0	10210
CIB4	20	0	0	20	0	0.0	0.0	0.0	10211
