model	mse	r2	pearson	selected_enhancer	coefficients
spatial_attribution	0.03846572297312115	0.03741929520009579	0.2535049747419236		
spatial_mean	0.04022652212913423	-0.006643604483097754	0.0		
best_single	0.03985261937122397	0.0027130786211659874	0.24809308128443652	1.0	
global_elastic_net	0.03896445134822936	0.024938928949061467	0.2480930812844366		[0.0, 0.5673616279493504, 0.0, 0.0]
