enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.004723566118627787	0.004723566118627787	0.0
0	0	0.006664695683866739	0.006664695683866739	0.0
0	1	0.0021353925112634897	0.0021353925112634897	0.0
1	all_test	0.004723566118627787	0.21655723452568054	0.21183366840705276
1	0	0.006664695683866739	0.2870716452598572	0.28040694957599044
1	1	0.0021353925112634897	0.12253796309232712	0.12040257058106363
2	all_test	0.004723566118627787	0.004723566118627787	0.0
2	0	0.006664695683866739	0.006664695683866739	0.0
2	1	0.0021353925112634897	0.0021353925112634897	0.0
3	all_test	0.004723566118627787	0.004723566118627787	0.0
3	0	0.006664695683866739	0.006664695683866739	0.0
3	1	0.0021353925112634897	0.0021353925112634897	0.0
