enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.008208918385207653	0.008208918385207653	0.0
0	0	0.006212704814970493	0.006212704814970493	0.0
0	1	0.010870537720620632	0.010870537720620632	0.0
1	all_test	0.008208918385207653	0.20388752222061157	0.19567860383540392
1	0	0.006212704814970493	0.29962557554244995	0.29341287072747946
1	1	0.010870537720620632	0.0762367695569992	0.06536623183637857
2	all_test	0.008208918385207653	0.008208918385207653	0.0
2	0	0.006212704814970493	0.006212704814970493	0.0
2	1	0.010870537720620632	0.010870537720620632	0.0
3	all_test	0.008208918385207653	0.008208918385207653	0.0
3	0	0.006212704814970493	0.006212704814970493	0.0
3	1	0.010870537720620632	0.010870537720620632	0.0
