model	mse	r2	pearson	selected_enhancer	coefficients
spatial_attribution	0.029752115184040417	0.6877406206751815	0.9413622594864165		
spatial_mean	0.1054888448312119	-0.10714418147842752	4.99547231090537e-16		
best_single	0.16029148848742064	-0.6823180602965118	0.30709238341847317	0.0	
global_elastic_net	0.02975211747966811	0.6877405965817254	0.9413622566069415		[0.7104079093589935, 0.5445726384465404, 0.7485329233285387, 0.0]
