gene	enhancer	enhancer_index	global_concordance	max_regional_concordance	best_domain	local_advantage	regional_specificity	regional_evidence_score	predicted_class	screen_only	initial_spearman_rho	link_pvalue
krt8	23-10290818-10291318	0	0.6201289715823131	0.6646131768298288	5	0.0444842052475157	0.0431549124660528	0.0012758658800043	core_concordant	True	0.5215520231026145	0.0
krt8	23-10256140-10256640	1	0.6140701456709443	0.6620940018137986	1	0.0480238561428543	0.0833868194821089	0.0026513929200245	core_concordant	True	0.4957964227167282	0.0
krt8	23-10273687-10274187	2	0.6111218815519954	0.6454109855029349	1	0.0342891039509394	0.0531761997843421	0.0011768193124382	core_concordant	True	0.4766172817360098	0.0
krt8	23-10174777-10175277	3	0.6346188798247783	0.7070490891048538	0	0.0724302092800754	0.0995910687537053	0.0051002292796906	core_concordant	True	0.4608962141761235	0.0
krt8	23-10205106-10205606	4	0.6273251982622118	0.680210235605259	1	0.0528850373430471	0.0557372315472447	0.0020050322930619	core_concordant	True	0.4463766001379978	0.0
krt8	23-10277756-10278256	5	0.4841300557533295	0.5145362093145864	1	0.0304061535612568	0.0545669764593056	0.0008537040023247	core_concordant	True	0.4452864658887008	0.0
krt8	23-10251276-10251776	6	0.4429151710708427	0.5108988787720611	1	0.0679837077012183	0.0815218337919852	0.0028314815519357	core_concordant	True	0.4429795833921967	0.0
krt8	23-10172940-10173440	7	0.539670212663473	0.5799223068664258	1	0.0402520942029527	0.0711685309956005	0.0016612932339205	core_concordant	True	0.4341054524852064	0.0
krt8	23-10259233-10259733	8	0.482780143688208	0.5445422920953742	1	0.0617621484071661	0.1181102467682198	0.0039722958498263	core_concordant	True	0.4302741210471655	0.0
krt8	23-10343423-10343923	9	0.5169362167907796	0.5671971219212301	1	0.0502609051304504	0.0943996690727552	0.0026911307313767	core_concordant	True	0.4293281267514734	0.0
krt8	23-10345203-10345703	10	0.4779091768054882	0.5066480062577655	0	0.0287388294522772	0.0171523366453976	0.0002497460942043	core_concordant	True	0.42534657404499	0.0
krt8	23-10249123-10249623	11	0.4181648392484373	0.4390712011785291	1	0.0209063619300918	0.0264804758349596	0.000243074388532	core_concordant	True	0.4239513569153796	0.0
krt8	23-10172393-10172893	12	0.5359714715050672	0.5720875116470144	0	0.0361160401419472	0.0679291941319416	0.0014035214584448	core_concordant	True	0.4204023690187315	0.0
krt8	23-10215927-10216427	13	0.465405208732527	0.5714595053795051	1	0.106054296646978	0.1833669173162538	0.0111130869646293	core_concordant	True	0.4188469198632344	0.0
krt8	23-10344510-10345010	14	0.4577373691441515	0.4908151663813316	0	0.0330777972371801	0.0483986491583637	0.0007857561614093	core_concordant	True	0.4121576522311664	0.0
krt8	23-10197136-10197636	15	0.3912736747492696	0.4510241999162006	1	0.0597505251669309	0.0915961761321626	0.0024684191960542	core_concordant	True	0.4066654807170772	0.0
krt8	23-10174177-10174677	16	0.5819410560610917	0.6068442316590658	4	0.024903175597974	0.0073703838047652	0.0001113838083535	core_concordant	True	0.4064933536191671	0.0
krt8	23-10350579-10351079	17	0.4650655747916228	0.5508878606267752	4	0.0858222858351523	0.108370095345668	0.0051235707235931	core_concordant	True	0.3912185882735548	0.0
krt8	23-10281439-10281939	18	0.4019301196247523	0.4169643297488579	2	0.0150342101241056	0.0304669716263171	0.0001909891991694	core_concordant	True	0.3870016357395066	0.0
krt8	23-10181999-10182499	19	0.484229736466822	0.5536494799758008	1	0.0694197435089788	0.1431831732339167	0.0055031314174167	core_concordant	True	0.3847371337074769	0.0
hoxc3a	23-35987197-35987697	0	0.6734649436349178	0.5769353186472174	2	-0.0965296249877004	0.4607095989401242	0.0	core_concordant	True	0.6020955932039833	0.0
hoxc3a	23-36106458-36106958	1	0.5495083137273401	0.3263362568846997	2	-0.2231720568426403	0.2487432364277664	0.0	core_concordant	True	0.5655007113381653	0.0
hoxc3a	23-36098603-36099103	2	0.5457862842102212	0.3738767355959739	2	-0.1719095486142473	0.2974688710621084	0.0	core_concordant	True	0.5214659714684651	0.0
hoxc3a	23-36112322-36112822	3	0.4808262824069142	0.2435030293476937	2	-0.2373232530592204	0.1635389090539807	0.0	core_concordant	True	0.5115517229367015	0.0
hoxc3a	23-36078189-36078689	4	0.5127869791089475	0.3553575571658133	2	-0.1574294219431342	0.2928984899289558	0.0	core_concordant	True	0.5095241021669998	0.0
hoxc3a	23-36122274-36122774	5	0.3918232829569337	0.1058201462059956	5	-0.286003136750938	0.0790987903904714	0.0	core_concordant	True	0.4732896364137906	0.0
hoxc3a	23-36103170-36103670	6	0.4967507937450006	0.3862458310885622	2	-0.1105049626564383	0.3574298008545999	0.0	core_concordant	True	0.4666493806152342	0.0
hoxc3a	23-36121246-36121746	7	0.416469164793654	0.1935915896339071	2	-0.2228775751597468	0.0950690667806768	0.0	core_concordant	True	0.461437742029501	0.0
hoxc3a	23-36005426-36005926	8	0.4411118334921728	0.2669002770033945	2	-0.1742115564887782	0.2429038027294511	0.0	core_concordant	True	0.4495963572022842	0.0
hoxc3a	23-36109118-36109618	9	0.4223750682066946	0.2424736787672608	2	-0.1799013894394337	0.2110398000962586	0.0	core_concordant	True	0.4397785818022019	0.0
hoxc3a	23-36058455-36058955	10	0.4540405044910667	0.3431364274181797	2	-0.110904077072887	0.2893355126320562	0.0	core_concordant	True	0.4321313144766204	0.0
hoxc3a	23-36105809-36106309	11	0.4287745721247708	0.2939697855862036	2	-0.1348047865385672	0.2791779388736031	0.0	core_concordant	True	0.4233277839012876	0.0
