gene	enhancer_index	global_concordance	max_regional_concordance	best_domain	best_domain_size	local_advantage	regional_specificity	regional_evidence_score	permutation_pvalue	predicted_class	truth_class	truth_domain	permutation_qvalue
sim_gene	0	0.9943950362663658	0.9952501373780708	4	415	0.0008551011117049478	0.0016169321550399962	1.354902775113709e-06	0.01	core_concordant	core_concordant	-1	0.015384615384615385
sim_gene	1	0.9956540200452972	0.9965308359247576	4	415	0.0008768158794603131	0.0019048905042111652	1.6388370827980335e-06	0.01	core_concordant	core_concordant	-1	0.015384615384615385
sim_gene	2	0.9969758394428526	0.9975658590160419	4	415	0.000590019573189271	0.0014799186205943782	8.576546533751512e-07	0.01	core_concordant	core_concordant	-1	0.015384615384615385
sim_gene	3	0.9957335847040596	0.9969637551864988	4	415	0.00123017048243923	0.0023766684841555197	2.8699867808240626e-06	0.01	core_concordant	core_concordant	-1	0.015384615384615385
sim_gene	4	0.9972038367671403	0.997517598817321	4	415	0.00031376205018074366	0.001154015923213625	3.556308266300575e-07	0.01	core_concordant	core_concordant	-1	0.015384615384615385
sim_gene	5	0.9979434875777125	0.9984243843375793	4	415	0.00048089675986684455	0.0011941988273987958	5.645602384445434e-07	0.01	core_concordant	core_concordant	-1	0.015384615384615385
sim_gene	6	0.9969204314211905	0.9975018935734604	4	415	0.0005814621522699515	0.0012050801552282442	6.882048554417729e-07	0.01	core_concordant	core_concordant	-1	0.015384615384615385
sim_gene	7	0.9979792320278009	0.9983396313748542	4	415	0.00036039934705323073	0.000691711278855589	2.450494780521436e-07	0.01	core_concordant	core_concordant	-1	0.015384615384615385
sim_gene	8	0.9986301182555946	0.9989437788832884	4	415	0.00031366062769389025	0.0009007142613940422	2.778783492823382e-07	0.01	core_concordant	core_concordant	-1	0.015384615384615385
sim_gene	9	0.9975200806337975	0.9977565442400003	4	415	0.00023646360620277473	0.000865202895632522	1.9868654349011462e-07	0.02	core_concordant	core_concordant	-1	0.02666666666666667
sim_gene	10	0.32964519238796947	0.9986204002201029	3	281	0.6689752078321334	0.6762056894797843	0.4447909013868569	0.01	regional_candidate	regional_specific	0	0.015384615384615385
sim_gene	11	0.4933339562909963	0.9981194730435011	2	262	0.5047855167525048	0.5687126248053254	0.2821297609586392	0.01	regional_candidate	regional_specific	1	0.015384615384615385
sim_gene	12	0.3495959501139128	0.9822174390675229	1	415	0.6326214889536101	0.45473889788061594	0.27821484724700246	0.01	regional_candidate	regional_specific	2	0.015384615384615385
sim_gene	13	0.2933918721350573	0.9986172076023043	0	281	0.7052253354672471	0.8520745476766343	0.5908417304347638	0.01	regional_candidate	regional_redundant	0	0.015384615384615385
sim_gene	14	0.4483605563514849	0.9981082736114477	5	262	0.5497477172599627	0.6997735834406682	0.37373195337821896	0.02	regional_candidate	regional_redundant	1	0.02666666666666667
sim_gene	15	0.07033225094628401	0.5364652878816295	2	262	0.46613303693534547	0.3755800220411011	0.03977750771496865	0.49	unsupported	unsupported	-1	0.5764705882352942
sim_gene	16	0.07321535791495115	0.5481127516467544	2	262	0.4748973937318033	0.6407508387632983	0.07505357595381561	0.44	unsupported	unsupported	-1	0.55
sim_gene	17	-0.0136451654463146	0.2163940967595083	1	415	0.2300392622058229	0.5563954051045357	0.008309065156779942	0.7	unsupported	unsupported	-1	0.7
sim_gene	18	-0.13905180165069322	0.03149674151040248	1	415	0.1705485431610957	0.39551846852625616	0.0006373847412532265	0.68	unsupported	unsupported	-1	0.7
sim_gene	19	-0.08828645230053213	0.389671324107986	1	415	0.4779577764085181	0.656342550030766	0.03938891588834187	0.61	unsupported	unsupported	-1	0.6777777777777777
