scenario	seed	fold	spatial_r2	elastic_r2	best_single_r2	gain	strength
single	20260814	3	0.0959229259884223	0.0959231050025662	0.1390868839685909	-1.7901414391119364e-07	0.0
single	20260814	2	0.9609317302325718	0.9609317080649858	0.9625292816729778	2.216758598905244e-08	0.0
single	20260814	1	0.9836945232047506	0.9836945207299213	0.9836604033520472	2.4748293414589284e-09	0.0
single	20260814	0	0.915564943909292	0.9155649057032208	0.9121786622529476	3.8206071195645563e-08	0.0
single	20260814	4	-0.4273215687520213	-0.4273210600910855	-0.5201767091907326	-5.086609358162519e-07	0.0
single	20260824	0	0.9502983967460767	0.9502983813584924	0.952810164989435	1.53875843178497e-08	0.0
single	20260824	1	0.982617236397152	0.9826172341565697	0.9802514830498013	2.2405823862925445e-09	0.0
single	20260824	2	0.9742836512003348	0.9742836561682848	0.9754168369589123	-4.967950051337766e-09	0.0
single	20260824	3	0.6212511670794103	0.621251246742142	0.6286736885501064	-7.96627317445342e-08	0.0
single	20260824	4	-0.5560953877947763	-0.5560954125139328	-0.6262905431246957	2.4719156499486417e-08	0.0
single	20260834	0	0.9269998090908048	0.9269998323827208	0.928888349002802	-2.3291915951517694e-08	0.0
single	20260834	1	0.9770964480013044	0.9770964483745128	0.9761779615549928	-3.732084641328015e-10	0.0
single	20260834	2	0.9677479676905478	0.9677479747702358	0.9678691684066584	-7.079687946998092e-09	0.0
single	20260834	3	0.5219825963785971	0.5219829697018468	0.4711720746806793	-3.733232496472283e-07	0.0
single	20260834	4	-1.456167275603811	-1.456165470643656	-0.7800222739754299	-1.8049601551162198e-06	0.0
redundant	20260814	0	0.9083165179349102	0.908316506924016	0.8857446067810125	1.1010894196417098e-08	0.0
redundant	20260814	1	0.9840578912826669	0.9840578810448624	0.9823460774578708	1.0237804493051783e-08	0.0
redundant	20260814	2	0.9766784799840208	0.9766784788423396	0.9683250007277506	1.1416811940279104e-09	0.0
redundant	20260814	3	-0.7412277992908061	-0.7412284779363392	-0.9422944664506888	6.786455331031505e-07	0.0
redundant	20260814	4	-0.1328067879695171	-0.1328067291825945	-0.4176010459058945	-5.878692257987872e-08	0.0
redundant	20260824	0	0.955568733287302	0.9555687443140672	0.9469425916466372	-1.1026765278643325e-08	0.0
redundant	20260824	1	0.9743662217643868	0.974366216653222	0.9759551957217236	5.111164824711523e-09	0.0
redundant	20260824	2	0.9629288818134532	0.962928873360998	0.9615335029122426	8.452455180218976e-09	0.0
redundant	20260824	3	0.6149923429661863	0.6149922852859493	0.462597752102925	5.768023703112135e-08	0.0
redundant	20260824	4	-0.8083638231492127	-0.8083603923701617	-0.8010639392718575	-3.4307790510723635e-06	0.0
redundant	20260834	1	0.9763154974119314	0.9763154989076496	0.973940093423892	-1.4957182159491822e-09	0.0
redundant	20260834	0	0.9166850790769684	0.91668507428986	0.9017186472179058	4.787108376369531e-09	0.0
redundant	20260834	2	0.9677978356734666	0.9677978577028165	0.9602359117772014	-2.2029349899810313e-08	0.0
redundant	20260834	3	0.1496695451391002	0.1496692592199247	0.0700407902881237	2.859191755022472e-07	0.0
