gene	enhancer	enhancer_index	global_concordance	max_regional_concordance	best_domain	local_advantage	regional_specificity	regional_evidence_score	predicted_class	screen_only	permutation_pvalue	permutation_qvalue	initial_spearman_rho	link_pvalue
pitx2	14-36213786-36214286	3	0.19394566596722526	0.2430116353685011	0	0.04906596940127583	0.20685997708214887	0.0024665159258165457	unsupported	True	0.13	0.2	0.1332919954561604	6.59000875180763e-90
pitx2	14-36175131-36175631	4	0.2170146723989917	0.35878119346036064	0	0.14176652106136894	0.3135677736789133	0.015949048351178618	regional_candidate	True	0.01	0.022222222222222223	0.1328561968300997	2.491816589594418e-89
pitx2	14-36225135-36225635	5	0.0747604892060003	0.11813997960359283	0	0.043379490397592535	0.07686837976832264	0.00039393907830837535	unsupported	True	0.275	0.3625	0.1322922144712461	1.3840530996308552e-88
pitx2	14-36210515-36211015	6	0.26390532024388547	0.3998112025344847	0	0.13590588229059924	0.3195190183227855	0.017361607199311586	regional_candidate	True	0.005	0.014285714285714287	0.119438560093864	1.6983024857828709e-72
pitx2	14-36275093-36275593	7	0.15073631907503998	0.19694259287728857	5	0.04620627380224859	0.1740487856246294	0.0015838410547202352	unsupported	True	0.13	0.2	0.1193099897017686	2.4123499299553424e-72
pitx2	14-36159617-36160117	8	0.023725553767868952	0.03780658288764405	4	0.014081029119775094	0.023790878069408612	1.2665207039747024e-05	unsupported	True	0.585	0.6157894736842104	0.1140899354967636	2.687903899633074e-66
pitx2	14-36131605-36132105	9	0.23281397955289093	0.380255739077081	0	0.14744175952419006	0.253948570647296	0.014237772694385314	regional_candidate	True	0.01	0.022222222222222223	0.113625899347094	8.986711358103037e-66
pitx2	14-36181328-36181828	10	0.07988522324167728	0.19482327653501488	0	0.1149380532933376	0.12568525519754825	0.0028144206687609175	unsupported	True	0.1	0.18181818181818182	0.0978673056091379	2.930729329524372e-49
pitx2	14-36235897-36236397	11	0.04088919274821007	0.08159345778228747	0	0.0407042650340774	0.07427509484684698	0.00024668257354709254	unsupported	True	0.43	0.47777777777777775	0.0966720465689149	4.1477467320540466e-48
pitx2	14-36288173-36288673	12	0.194904306301494	0.40740668084261406	0	0.21250237454112006	0.3569830377982291	0.03090576618791791	regional_candidate	True	0.005	0.014285714285714287	0.0948430825056329	2.2447604088343512e-46
pitx2	14-36293597-36294097	13	0.04948924534043375	0.09622478828239789	5	0.04673554294196414	0.06370275665825982	0.0002864787960898841	unsupported	True	0.34	0.4	0.0907875017821445	1.1904693169222535e-42
pitx2	14-36162447-36162947	14	0.210904018689186	0.41740482674918633	0	0.20650080806000032	0.32150614341403694	0.027712040062906042	regional_candidate	True	0.005	0.014285714285714287	0.0890048649777223	4.5817126748950935e-41
pitx2	14-36251040-36251540	15	0.033962255770814756	0.00833885796693176	5	-0.025623397803882994	0.017948551726842468	0.0	unsupported	True	0.94	0.9399999999999998	0.0864884889757384	6.999860424341512e-39
pitx2	14-36228120-36228620	16	0.19830249497436545	0.37685655078365987	0	0.17855405580929443	0.23663478723528059	0.015922981048645563	regional_candidate	True	0.005	0.014285714285714287	0.0851426949123583	9.71304192389648e-38
pitx2	14-36203042-36203542	17	0.4354567475041379	0.669318047464412	0	0.23386129996027416	0.5324554697753241	0.08334397075643288	core_concordant	True	0.005	0.014285714285714287	0.0837980987254619	1.290230224989158e-36
pitx2	14-36134856-36135356	18	0.11084036208054504	0.14300080274599689	0	0.032160440665451845	0.0970963506131849	0.0004465430901539523	unsupported	True	0.195	0.2785714285714286	0.080952870251334	2.6829235275656966e-34
pitx2	14-36246410-36246910	19	0.11222821343763349	0.13404468128059258	0	0.021816467842959084	0.08506115123893646	0.0002487512552381525	unsupported	True	0.29	0.3625	0.0777511174221425	8.735083612922117e-32
clic4	17-25460520-25461020	0	0.4198454898910815	0.5233976717297114	2	0.10355218183862991	0.2027089376244438	0.01098661580678861	core_concordant	True	0.005	0.014285714285714287	0.4625580177735809	0.0
clic4	17-25454776-25455276	1	0.3649025074595972	0.4428479557882548	2	0.07794544832865763	0.3249070609371168	0.01121513622904513	core_concordant	True	0.005	0.014285714285714287	0.3595239950866251	0.0
clic4	17-25462789-25463289	2	0.3173214060815216	0.4660988738614315	2	0.1487774677799099	0.31932596243558065	0.022143662118442986	regional_candidate	True	0.005	0.014285714285714287	0.3348767431631959	0.0
