cell	x	y	z	x_standardized	y_standardized	z_standardized	domain
E1_2.0	744.2957004309499	-1262.0196267128897	-51.38578218749933	-0.1356825909417562	-1.464389553888272	-2.0898995324677427	0
E1_3.0	708.0702457669581	-757.4579860538493	-48.90663792026492	-0.46845372212027836	-0.3650611992404791	-2.0581269301534846	0
E1_4.0	779.8509375649286	-909.1845702791511	-2.188359679435037	0.19093184606503488	-0.6956399090585028	-1.4593875606981548	0
E1_5.0	757.0947072476607	-1260.03102012516	-25.648966823498746	-0.018109464093134686	-1.4600568194273742	-1.7600576550895957	0
E1_6.0	743.9079244123351	-1261.9233883592656	-28.380320088376205	-0.13924474538689027	-1.464179871775289	-1.7950625566645693	0
E1_7.0	753.8116793033646	-1273.2239866487898	-26.082495640037948	-0.04826773078288491	-1.4888013790859356	-1.7656137410591453	0
E1_9.0	704.9720225309163	-756.4526309628217	-8.679776583557173	-0.49691435182014604	-0.36287075258541324	-1.5425812701069268	0
E1_10.0	744.9901655960197	-1243.9604115925997	-37.03015624629351	-0.1293031552469416	-1.4250425135177682	-1.905918470925491	0
E1_11.0	732.5512850689481	-1265.6300021252505	-30.394523569705374	-0.24356812119373408	-1.472255764360688	-1.8208764986114234	0
E1_12.0	743.0387624892558	-1281.9624517797579	-27.56304586828394	-0.14722896529532684	-1.507840564232921	-1.7845884067250606	0
E1_13.0	761.7817713232573	-769.3513399906284	-5.917073022451332	0.02494643758731714	-0.39097419016362095	-1.5071745845342797	0
E1_14.0	735.3837741567874	-772.2699881286331	-27.718951557041443	-0.21754855548906943	-0.39733327971144644	-1.786586487075967	0
E1_15.0	753.3313985762421	-838.8848768430495	-6.350666614180305	-0.05267964396189754	-0.5424724066371727	-1.5127315006597712	0
E1_16.0	740.1917712334342	-835.4023743799125	2.603172134808816	-0.17338174955828903	-0.5348848030733016	-1.3979795027556803	0
E1_17.0	762.3969128974818	-864.2222553286063	-12.607908243995485	0.030597197788626396	-0.5976769571956208	-1.5929240302014729	0
E1_18.0	731.6295006682045	-854.7323967421698	6.537105474905618	-0.2520357371445442	-0.5770006516959779	-1.3475623885934906	0
E1_19.0	744.871901130754	-869.8558836247714	-22.608395269053144	-0.1303895460251857	-0.6099513887545304	-1.721089825712238	0
E1_21.0	740.580414393742	-873.5242252223939	17.29471939616897	-0.169811629451309	-0.6179438947395929	-1.20969328856249	0
E1_23.0	786.130084550649	-934.9424979191386	13.130542344248326	0.2486128017536709	-0.751760743322912	-1.2630611958623852	0
E1_24.0	792.8297691764387	-939.3569500254966	-23.49758171160684	0.3101568638542768	-0.7613788592867322	-1.732485599486228	0
E1_25.0	797.7706493536348	-950.809972811735	-11.932010343918485	0.355544349003425	-0.7863324659043371	-1.584261752871342	0
E1_26.0	765.8114895654132	-1246.1291395859926	-24.50832422655809	0.06196388595921808	-1.4297676927318304	-1.745439230460469	0
E1_27.0	771.8525902752531	-1266.641848669974	-1.1113282889743903	0.11745812158505903	-1.4744603544593606	-1.445584374453067	0
E1_28.0	733.690009953182	-1247.608499247976	-2.4910269828561686	-0.23310766538048258	-1.4329908906368798	-1.4632665313543707	0
E1_29.0	728.4527567388408	-1254.0248402459868	-2.0093370236958235	-0.28121766683029265	-1.446970680267715	-1.4570932143298452	0
