epoch	train_loss	validation_loss
0	0.03597726300358772	0.03478191792964935
1	0.0355067253112793	0.03438609465956688
2	0.0350600890815258	0.03401196002960205
3	0.034636739641427994	0.033658478409051895
4	0.03423566371202469	0.033324673771858215
5	0.033855851739645004	0.03300958871841431
6	0.03349632769823074	0.03271224722266197
7	0.03315609693527222	0.03243164345622063
8	0.03283412382006645	0.03216678649187088
9	0.03252939134836197	0.03191673383116722
10	0.03224091976881027	0.03168059512972832
11	0.031967759132385254	0.03145753964781761
12	0.03170904517173767	0.031246792525053024
13	0.03146395459771156	0.03104764223098755
14	0.031231723725795746	0.03085939586162567
15	0.031011629849672318	0.030681423842906952
16	0.03080298751592636	0.03051311895251274
17	0.030605152249336243	0.030353888869285583
18	0.030417509377002716	0.030203191563487053
19	0.03023947775363922	0.030060511082410812
20	0.030070491135120392	0.02992534264922142
21	0.02991003543138504	0.029797222465276718
22	0.029757600277662277	0.029675699770450592
23	0.029612718150019646	0.029560361057519913
24	0.02947494015097618	0.029450805857777596
25	0.02934383973479271	0.029346656054258347
26	0.029219020158052444	0.02924756333231926
27	0.029100095853209496	0.029153194278478622
28	0.028986718505620956	0.029063232243061066
29	0.02887854166328907	0.02897738106548786
