scenario	runs	enabled	enabled_fraction	mean_r2_gain	median_r2_gain	min_r2_gain	max_r2_gain	mean_gate_gain	worst_internal_gain
complementary	15	0	0.0	-9.13269655455906e-09	-7.679648805769546e-09	-1.539324023802635e-07	1.4137288317783714e-07	-0.011286846036091447	-0.11669579893350601
unrelated_missing_factor	15	0	0.0	-4.654469267629125e-06	-5.250527979061559e-08	-3.0062534420949305e-05	3.527575458406318e-06	-0.06600903416401707	-0.25380370020866394
