gene	method	area	area_vs_old	jaccard_vs_old	threshold	param	component_sizes	old_center_low	old_center_high
NEFM	old	998	1.0	0.9999999999899799				0.022998683684420967	0.38348117048750524
NEFM	Q	296	0.2965931863727455	0.2914171656657543	0.7237308040828276	0.92	152,144	0.022998683684420967	0.38348117048750524
NEFM	A	117	0.11723446893787576	0.11723446893670106	1.0784824776582747	0.97	80,37	0.022998683684420967	0.38348117048750524
NEFM	M	314	0.31462925851703405	0.3054726368128809	0.6830433457767771	2.5	158,156	0.022998683684420967	0.38348117048750524
NEFL	old	2889	1.0	0.9999999999965387				0.046663679311255694	0.4074729940997745
NEFL	Q	317	0.10972654897888542	0.10972654897850562	1.072984288676848	0.92	165,152	0.046663679311255694	0.4074729940997745
NEFL	A	104	0.035998615437867774	0.03599861543774317	1.4045360444388637	0.98	69,35	0.046663679311255694	0.4074729940997745
NEFL	M	59	0.020422291450328832	0.020422291450258145	1.4522068652236149	2.5	59	0.046663679311255694	0.4074729940997745
