enhancer	domain	baseline_loss	ablated_loss	delta_loss
0	all_test	0.005410715006291866	0.005410715006291866	0.0
0	0	0.005410715006291866	0.005410715006291866	0.0
0	1	0.0	0.0	0.0
1	all_test	0.005410715006291866	0.38048309087753296	0.3750723758712411
1	0	0.005410715006291866	0.38048309087753296	0.3750723758712411
1	1	0.0	0.0	0.0
2	all_test	0.005410715006291866	0.005410715006291866	0.0
2	0	0.005410715006291866	0.005410715006291866	0.0
2	1	0.0	0.0	0.0
3	all_test	0.005410715006291866	0.005410715006291866	0.0
3	0	0.005410715006291866	0.005410715006291866	0.0
3	1	0.0	0.0	0.0
