epoch	train_loss	validation_loss
0	0.003327248152345419	0.003507648827508092
1	0.0033205070067197084	0.0035012729931622744
2	0.0033138119615614414	0.003494914621114731
3	0.003307143459096551	0.003488596063107252
4	0.0033005261793732643	0.003482347121462226
5	0.0032939924858510494	0.003476201556622982
6	0.0032875812612473965	0.003470198716968298
7	0.0032813355792313814	0.003464379347860813
8	0.0032753015402704477	0.003458788152784109
9	0.0032695280387997627	0.00345346936956048
10	0.003264066530391574	0.003448472125455737
11	0.003258968936279416	0.003443843685090542
12	0.0032542895060032606	0.0034396322444081306
13	0.003250078996643424	0.003435882506892085
14	0.0032463858369737864	0.0034326331224292517
15	0.003243252169340849	0.0034299127291888
16	0.003240706864744425	0.003427734598517418
17	0.003238761331886053	0.0034260903485119343
18	0.003237401833757758	0.003424945753067732
19	0.0032365848310291767	0.0034242351539433002
20	0.003236230928450823	0.00342385983094573
21	0.0032362244091928005	0.003423698479309678
22	0.00323642254807055	0.0034236193168908358
23	0.0032366709783673286	0.003423500107601285
24	0.0032368325628340244	0.0034232502803206444
25	0.0032368041574954987	0.003422816749662161
26	0.003236528718844056	0.003422187641263008
27	0.0032359950710088015	0.0034213787876069546
28	0.003235227894037962	0.0034204309340566397
29	0.0032342751510441303	0.0034193922765552998
