epoch	train_loss	validation_loss	train_reconstruction	train_safety	train_attribution	validation_reconstruction	validation_safety	validation_attribution
0	0.18176499009132385	0.17127469182014465	0.054908450692892075	0.1038842648267746	0.37206393480300903	0.05199079215526581	0.09778136759996414	0.3496667742729187
1	0.17462122440338135	0.16467168927192688	0.05167769640684128	0.0975768193602562	0.3683029115200043	0.04898390546441078	0.09191445261240005	0.34638726711273193
2	0.16787099838256836	0.1584462821483612	0.048630472272634506	0.0916263684630394	0.3646983504295349	0.04615376889705658	0.08639134466648102	0.34325146675109863
3	0.16150683164596558	0.15257912874221802	0.04576333612203598	0.08602634072303772	0.36124667525291443	0.043491728603839874	0.08119538426399231	0.3402476906776428
4	0.1555088758468628	0.1470465064048767	0.04306737706065178	0.08075951784849167	0.3579360842704773	0.0409870520234108	0.07630568742752075	0.337363064289093
5	0.14985251426696777	0.1418302357196808	0.040531519800424576	0.07580441981554031	0.3547528088092804	0.038631342351436615	0.07170597463846207	0.3345893919467926
6	0.1445191502571106	0.1369161158800125	0.03814715892076492	0.07114432007074356	0.3516883850097656	0.03641796484589577	0.06738340854644775	0.3319210410118103
7	0.13949434459209442	0.13229015469551086	0.0359075590968132	0.06676619499921799	0.3487371504306793	0.03434043005108833	0.06332534551620483	0.32935214042663574
8	0.13476383686065674	0.12794306874275208	0.03380608931183815	0.06265714019536972	0.34589317440986633	0.03239433467388153	0.059523314237594604	0.32687920331954956
9	0.13031810522079468	0.12386304140090942	0.03183823078870773	0.05880845710635185	0.3431530296802521	0.030574239790439606	0.055966753512620926	0.32449695467948914
10	0.1261451244354248	0.12003499269485474	0.029998404905200005	0.05520933121442795	0.34051159024238586	0.028873194009065628	0.05264217406511307	0.32219842076301575
11	0.12222934514284134	0.1164417639374733	0.028279468417167664	0.05184590071439743	0.3379615545272827	0.027283333241939545	0.04953429475426674	0.319975346326828
12	0.1185532957315445	0.11306538432836533	0.02667343057692051	0.04870261996984482	0.3354943096637726	0.025796450674533844	0.04662715271115303	0.31781888008117676
13	0.11509852856397629	0.10988804697990417	0.025171909481287003	0.04576318711042404	0.3331003785133362	0.02440442331135273	0.043904922902584076	0.31572020053863525
14	0.11184682697057724	0.10689261555671692	0.023766614496707916	0.04301145300269127	0.33077049255371094	0.023099428042769432	0.041352368891239166	0.31367090344429016
15	0.10878069698810577	0.10406313836574554	0.02244962751865387	0.04043198749423027	0.32849544286727905	0.021874181926250458	0.03895530477166176	0.31166312098503113
16	0.10588384419679642	0.10138498246669769	0.02121354267001152	0.038010355085134506	0.32626694440841675	0.020721999928355217	0.03670067340135574	0.30968987941741943
17	0.10314133763313293	0.09884485602378845	0.02005159482359886	0.035733334720134735	0.3240772783756256	0.019636817276477814	0.0345766581594944	0.3077446520328522
18	0.1005396619439125	0.0964309498667717	0.01895763725042343	0.03358893841505051	0.3219195604324341	0.018613196909427643	0.032572634518146515	0.3058220446109772
19	0.0980667769908905	0.09413255006074905	0.017926199361681938	0.031566470861434937	0.31978780031204224	0.017646251246333122	0.030679047107696533	0.30391696095466614
20	0.0957118570804596	0.0919402465224266	0.016952360048890114	0.029656315222382545	0.3176766037940979	0.016731640323996544	0.028887426480650902	0.3020252585411072
21	0.09346532076597214	0.08984564989805222	0.016031743958592415	0.027849912643432617	0.3155812621116638	0.015865497291088104	0.027190208435058594	0.3001432716846466
22	0.09131869673728943	0.08784129470586777	0.01516047678887844	0.026139672845602036	0.3134978413581848	0.0150443771854043	0.025580639019608498	0.29826781153678894
23	0.08926448971033096	0.08592064678668976	0.014335127547383308	0.024518875405192375	0.3114229142665863	0.01426523644477129	0.024052759632468224	0.2963963449001312
24	0.08729608356952667	0.08407790958881378	0.013552646152675152	0.022981544956564903	0.3093535900115967	0.013525368645787239	0.022601280361413956	0.29452669620513916
25	0.08540771901607513	0.08230800926685333	0.01281035877764225	0.02152242511510849	0.3072875738143921	0.01282238308340311	0.021221492439508438	0.2926572263240814
26	0.08359429985284805	0.08060649037361145	0.012105892412364483	0.020136862993240356	0.30522292852401733	0.012154171243309975	0.019909262657165527	0.2907865643501282
