validation_fold	candidate_strength	base_mse	calibrated_mse	relative_gain	improved
1	0.7037937045097351	0.13884656131267548	0.15185968577861786	-0.09372305870056152	False
2	0.0	0.03407973796129227	0.03407973796129227	0.0	False
3	0.0	0.03767826780676842	0.03767826780676842	0.0	False
4	0.0	0.018431885167956352	0.018431885167956352	0.0	False
