gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score
ndr1	20	0	0	20	0	0.0	0.0	0.0
hells	20	0	0	20	0	0.0	0.0	0.0
sall3a	20	0	0	20	0	0.0	0.0	0.0
lratd1	20	0	0	20	0	0.0	0.0	0.0
zmp:0000000624	20	0	0	20	0	0.0	0.0	0.0
add3b	19	0	0	19	0	0.0	0.0	0.0
clocka	20	0	0	20	0	0.0	0.0	0.0
dharma	20	0	0	20	0	0.0	0.0	0.0
igf2bp1	20	0	0	20	0	0.0	0.0	0.0
mycb	20	0	0	20	0	0.0	0.0	0.0
ccne2	20	0	0	20	0	0.0	0.0	0.0
nip7	20	0	0	20	0	0.0	0.0	0.0
rac1a	20	0	0	20	0	0.0	0.0	0.0
znf576.2	20	0	0	20	0	0.0	0.0	0.0
si:dkey-92i17.2	20	0	0	20	0	0.0	0.0	0.0
arhgap5	20	0	0	20	0	0.0	0.0	0.0
cth1	20	0	0	20	0	0.0	0.0	0.0
dmd	14	0	3	11	1	0.06786079966373532	0.0	0.09407504391492283
skilb	20	0	0	20	0	0.0	0.0	0.0
cnmd	20	0	1	19	1	0.0163498614458844	0.0	0.011332860363760522
dscc1	20	0	0	20	0	0.0	0.0	0.0
gpr137bb	20	0	0	20	0	0.0	0.0	0.0
ccnf	13	0	1	12	1	0.007944850679859469	0.0	0.005506950848714356
cbx3a	16	0	0	16	0	0.0	0.0	0.0
si:ch211-106e7.2	16	0	0	16	0	0.0	0.0	0.0
stmn1a	18	0	0	18	0	0.0	0.0	0.0
tph1b	20	0	0	20	0	0.0	0.0	0.0
higd1a	20	0	0	20	0	0.0	0.0	0.0
egln1b	20	0	0	20	0	0.0	0.0	0.0
foxn2b	20	0	0	20	0	0.0	0.0	0.0
mdm2	19	0	0	19	0	0.0	0.0	0.0
rpl34	20	0	0	20	0	0.0	0.0	0.0
zgc:113424	20	0	0	20	0	0.0	0.0	0.0
mgst3b	20	0	0	20	0	0.0	0.0	0.0
rbm7	18	0	0	18	0	0.0	0.0	0.0
rdh10b	15	0	0	15	0	0.0	0.0	0.0
hic1l	18	0	0	18	0	0.0	0.0	0.0
map2k6	16	0	0	16	0	0.0	0.0	0.0
c1qbp	11	0	1	10	1	0.013958633421559733	0.0	0.009675387400623951
gcm2	19	0	1	18	1	0.01155265752437405	0.0	0.00800769199099451
cmtm6	16	0	0	16	0	0.0	0.0	0.0
rrm2	14	0	0	14	0	0.0	0.0	0.0
kmt2bb	17	0	0	17	0	0.0	0.0	0.0
brd2a	12	0	0	12	0	0.0	0.0	0.0
ccng1	14	0	0	14	0	0.0	0.0	0.0
rpl10	10	0	0	10	0	0.0	0.0	0.0
pknox1.1	16	0	0	16	0	0.0	0.0	0.0
tmed2	12	0	0	12	0	0.0	0.0	0.0
snrpg	15	0	0	15	0	0.0	0.0	0.0
rplp0	6	0	0	6	0	0.0	0.0	0.0
