gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score
krt8	20	20	0	0	0	0.0	0.0	0.0
hoxc3a	20	13	0	7	0	0.0	0.0	0.0
krt18a.1	20	16	0	4	0	0.0	0.0	0.0
krt4	20	16	1	3	1	0.005729285245645415	0.0	0.003971237914642813
cdx4	20	10	1	9	1	0.02563826938352616	0.0	0.017771094137627525
sox2	20	8	1	11	1	0.008891577429234054	0.0	0.006163171825804031
tfap2a	20	6	5	9	2	0.07793854757466218	0.7219280948873623	0.24046231761043713
mycn	20	10	2	8	2	0.013751632967958108	1.0	0.030215425935704577
fn1b	20	4	1	15	1	0.00506518097575209	0.0	0.0035109159123684337
krt99	20	11	1	8	1	0.005436958890159974	0.0	0.0037686127255347154
eppk1	20	8	0	12	0	0.0	0.0	0.0
hoxc6a	20	11	0	9	0	0.0	0.0	0.0
tbx16	20	7	3	10	2	0.21491657971202074	0.9182958340544894	0.5715325385422733
dld	20	7	1	12	1	0.005510505154403958	0.0	0.0038195911112361494
meox1	20	8	0	12	0	0.0	0.0	0.0
sox11a	20	4	0	16	0	0.0	0.0	0.0
sox5	20	6	5	9	1	0.08235414195070485	0.0	0.14755881367032683
hoxc8a	20	6	0	14	0	0.0	0.0	0.0
her9	20	6	1	13	1	0.006940586255353666	0.0	0.004810847794331502
elf1	20	6	0	14	0	0.0	0.0	0.0
otx1	20	7	0	13	0	0.0	0.0	0.0
tp63	20	8	0	12	0	0.0	0.0	0.0
hoxb9a	20	4	0	16	0	0.0	0.0	0.0
foxc1b	20	6	2	12	2	0.022591412269748652	1.0	0.04963840627582677
foxc1a	20	5	4	11	4	0.05482750560697445	1.0	0.17648293233611576
gata3	20	8	1	11	1	0.0052535563280807895	0.0	0.003641487756722058
zic2a	20	6	6	8	3	0.052755917755751496	0.9602297178607612	0.20123380297544516
prickle1b	20	5	0	15	0	0.0	0.0	0.0
tuba8l2	20	4	6	10	2	0.0628265329815797	0.0	0.1222547881588143
grhl1	20	6	1	13	1	0.005752125206891865	0.0	0.003987069369384888
sox3	20	5	1	14	1	0.010705472029707532	0.0	0.007420467753955131
myf5	20	10	0	10	0	0.0	0.0	0.0
dlx3b	20	5	8	7	3	0.06782713479132717	0.7219280948873623	0.25662143659906034
tfap2c	20	3	5	12	2	0.035817011806277235	0.7219280948873623	0.1105055449046857
otx2b	20	9	0	11	0	0.0	0.0	0.0
nr2f2	20	8	1	11	1	0.010282540518064518	0.0	0.00712731396908982
pax6b	20	7	5	8	3	0.09696055955431068	0.8649735207179272	0.32400185110286345
gata2a	20	4	2	14	2	0.03568330824600509	1.0	0.07840424187878657
trps1	20	3	0	17	0	0.0	0.0	0.0
hoxb7a	20	5	0	15	0	0.0	0.0	0.0
klf2b	20	2	5	13	2	0.04231178075257842	0.9709505944546688	0.14942275860621435
hoxb1b	20	3	3	14	2	0.0162269864536374	0.9182958340544894	0.04315279339158279
zeb1b	20	3	0	17	0	0.0	0.0	0.0
pax6a	20	9	3	8	2	0.026688227665174896	0.9182958340544894	0.07097260959163865
her1	20	9	0	11	0	0.0	0.0	0.0
foxb1a	20	4	2	14	2	0.015107575536435061	1.0	0.033194736272618534
notch1a	20	2	2	16	2	0.01800317505456514	1.0	0.03955701869997686
sox13	20	5	0	15	0	0.0	0.0	0.0
six4b	20	5	3	12	2	0.017792937935829006	0.9182958340544894	0.04731716371168678
lhfpl6	20	3	5	12	2	0.037966028102521705	0.9709505944546688	0.13407586614170444
