gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score
epcam	20	0	0	20	0	0.0	0.0	0.0
tram1	20	1	7	12	5	0.1053426701594635	0.9609640474436812	0.42955687028037354
adka	20	0	2	18	2	0.013649221341633596	1.0	0.029990404593339386
tead1a	20	0	2	18	1	0.013167391689145522	0.0	0.014465858319401611
admp	20	0	2	18	2	0.01960391508455029	1.0	0.04307420403578615
aspm	20	0	1	19	1	0.005112497275960715	0.0	0.00354371307245257
lhx1a	20	1	7	12	3	0.11313946948989631	0.7219280948873623	0.40511270705261565
vrtn	20	0	2	18	2	0.027283724550395298	1.0	0.05994847014340014
sox10	20	3	8	9	2	0.08359181745867915	0.7219280948873623	0.31626652592902366
pbx1b	20	1	0	19	0	0.0	0.0	0.0
lhx5	20	4	2	14	1	0.024183077018238696	0.0	0.02656782559004438
cenpf	20	0	0	20	0	0.0	0.0	0.0
supt16h	20	0	0	20	0	0.0	0.0	0.0
kdrl	20	0	2	18	1	0.016503594878722938	0.0	0.018131052140965102
bach1b	20	0	1	19	1	0.006358782000863476	0.0	0.0044075718156938466
mcm2	18	0	0	18	0	0.0	0.0	0.0
ptp4a2b	20	0	0	20	0	0.0	0.0	0.0
bhlha15	20	4	5	11	2	0.08618311734698889	0.7219280948873623	0.26589913182942765
foxo1a	20	1	7	12	1	0.2207790875243038	0.0	0.4590972061322057
tuba8l4	20	0	0	20	0	0.0	0.0	0.0
gapdh	20	1	0	19	0	0.0	0.0	0.0
unga	20	0	0	20	0	0.0	0.0	0.0
fbln2	20	3	2	15	1	0.025873441866133096	0.0	0.02842488118427377
dkc1	20	0	2	18	1	0.016599563399105823	0.0	0.018236484336783036
foxd3	20	2	2	16	2	0.013475905114892847	1.0	0.029609589920293434
rxrgb	20	0	2	18	2	0.033973822988162754	1.0	0.07464811885566144
mespab	20	0	0	20	0	0.0	0.0	0.0
sdc4	20	0	2	18	1	0.024263078552896344	0.0	0.02665571625913158
emx3	20	2	4	14	1	0.109341667471338	0.0	0.1759786250371338
shha	20	1	5	14	2	0.0715101352301687	0.7219280948873623	0.22062885934087376
dand5	20	0	0	20	0	0.0	0.0	0.0
vox	20	0	0	20	0	0.0	0.0	0.0
oclna	15	0	0	15	0	0.0	0.0	0.0
zeb1a	20	0	0	20	0	0.0	0.0	0.0
klf7a	20	1	1	18	1	0.009753628358851811	0.0	0.006760699997167659
irx3a	20	0	1	19	1	0.005662210694888427	0.0	0.003924745378898282
klf17	20	0	2	18	1	0.013039923277243064	0.0	0.014325819955668562
itgb5	20	0	0	20	0	0.0	0.0	0.0
si:ch211-113a14.12	20	0	0	20	0	0.0	0.0	0.0
rrbp1b	14	1	2	11	2	0.05387852785212533	1.0	0.11838322558738382
dkk1b	20	0	0	20	0	0.0	0.0	0.0
chst11	20	0	2	18	1	0.024241849194223546	0.0	0.026632393424813102
cxcr4a	20	0	2	18	1	0.02243939765833554	0.0	0.02465219801775783
lmnb1	16	0	3	13	1	0.042421080018991614	0.0	0.05880810402294374
cdc14b	20	0	0	20	0	0.0	0.0	0.0
lft1	20	1	4	15	2	0.05891447264939167	1.0	0.18963837174598563
lmo2	20	2	3	15	2	0.026298896020809752	0.9182958340544894	0.06993725111284185
nkx2.2a	20	0	0	20	0	0.0	0.0	0.0
helb	20	0	1	19	1	0.005461438885138921	0.0	0.003785580965034494
tdgf1	20	0	4	16	4	0.04746321116494982	1.0	0.15277818298947143
