gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score
cdkn1ca	20	0	0	20	0	0.0	0.0	0.0
hdlbpa	20	1	5	14	3	0.04607136838357628	0.8649735207179272	0.15395134586408252
creb3l1	20	0	6	14	3	0.0942043161013189	0.8649735207179272	0.3418741423763788
snai2	20	0	3	17	1	0.05310593040758523	0.0	0.07362045186606074
meis2a	20	0	1	19	1	0.012936580775157202	0.0	0.008966954490386207
nasp	20	1	0	19	0	0.0	0.0	0.0
tcf7l2	20	2	5	13	2	0.03488622613929857	0.9709505944546688	0.1231996397782562
ntd5	20	3	5	12	4	0.04501260070781825	0.9609640474436812	0.158155189080358
tlcd5a	20	0	4	16	1	0.027015350274623744	0.0	0.04347952894966644
alcamb	20	1	2	17	1	0.022927599906834076	0.0	0.025188543007313727
mych	20	2	4	14	3	0.03262313229081758	0.946394630357186	0.10219526697188698
lamb1a	20	0	3	17	2	0.05470360361873229	0.9182958340544894	0.1454745347497992
rx3	20	6	1	13	1	0.011226985176369482	0.0	0.007781953121188806
ripply1	20	1	1	18	1	0.007660179841133979	0.0	0.005309632059464147
vent	20	1	1	18	1	0.011732295444319184	0.0	0.008132207508726133
eve1	20	1	0	19	0	0.0	0.0	0.0
rps6	20	0	2	18	1	0.025343782530917847	0.0	0.027842990929798514
plagl2	20	0	0	20	0	0.0	0.0	0.0
foxp1b	20	0	1	19	1	0.010262544352826256	0.0	0.007113453683532908
rreb1a	20	1	3	16	2	0.018614193965528356	0.9182958340544894	0.04950114851209706
foxd5	20	1	2	17	1	0.01604451481186113	0.0	0.017626701138028143
itm2cb	20	1	0	19	0	0.0	0.0	0.0
rxraa	20	0	6	14	3	0.0687106894388211	0.8649735207179272	0.2493559636771016
klf8	20	0	0	20	0	0.0	0.0	0.0
hivep2a	20	0	1	19	1	0.015434883693989567	0.0	0.010698646114759541
klf2a	20	0	1	19	1	0.009834343277706518	0.0	0.006816647315600924
lgals3b	20	3	0	17	0	0.0	0.0	0.0
foxi1	20	0	6	14	2	0.042974336938461366	0.9709505944546688	0.16481916354229773
ved	20	3	2	15	1	0.012860628744973054	0.0	0.014128844779225727
cdh6	20	0	6	14	3	0.039947221814405735	0.8649735207179272	0.14497130028979352
sall3b	20	0	0	20	0	0.0	0.0	0.0
chrd	20	1	1	18	1	0.00932591293214907	0.0	0.00646423025506666
akap12b	20	0	6	14	2	0.07980079081794002	0.7219280948873623	0.26738989479902386
pmp22b	20	4	3	13	1	0.030785228931772365	0.0	0.04267738927390094
gbx1	20	0	3	17	1	0.028156079482399992	0.0	0.03903261421769456
smtnl	20	0	6	14	2	0.03507324008393836	0.7219280948873623	0.11752051427285937
lef1	20	1	1	18	1	0.007515878411883191	0.0	0.005209609930628193
esrra	20	0	0	20	0	0.0	0.0	0.0
rbbp4	20	0	0	20	0	0.0	0.0	0.0
efnb2a	20	0	2	18	2	0.012347873346524346	1.0	0.02713105079481813
foxa2	20	2	4	14	2	0.03925885963400638	1.0	0.1263693941877972
nap1l1	20	0	0	20	0	0.0	0.0	0.0
foxh1	20	2	3	15	1	0.030940076134830796	0.0	0.04289205307833603
etv5b	20	0	0	20	0	0.0	0.0	0.0
anp32e	20	1	3	16	1	0.06607489618207742	0.0	0.0915992559887961
tgif1	20	0	2	18	1	0.024926460294375362	0.0	0.027384515592398483
lamc1	20	0	5	15	2	0.07144339369447004	0.7219280948873623	0.22042294295091786
hoxb8a	20	0	1	19	1	0.00810339941334198	0.0	0.0056168484563091075
kirrel3l	20	0	2	18	1	0.018512936634354417	0.0	0.0203385396858358
bmp7a	20	1	1	18	1	0.005854779292542576	0.0	0.004058223759426638
